Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Status
ch331-spike-votive-holder,Spike votive holder,"Candle holder with spike to hold candles in place this holder will fit a wide variety of candle with at least a 7/8"" base up to a 3"" base. Brass. 1 3/4"" x 3 1/8"".",AzureGreen,Metaphysical Supplies,"Pillar Holders,All Candle Holders & Oil diffusers,All Candles & Candle Accessories,Illuminations,Alchemical Elixirs,The Way to Resonance",TRUE,Title,Default Title,CH331,113,shopify,100,deny,azuregreen,27.09,,TRUE,TRUE,,https://www.azuregreen.net/images/CH331.jpg,1,Spike votive holder,FALSE,active
ch3461-3-5-8-astrological-holder,"3 5/8"" Astrological holder","Bring a touch of the cosmos into your space with this round astrological tealight holder. Finished in deep black with gold zodiac signs and symbols circling the edge, it creates a radiant celestial glow when lit. Perfect for enhancing rituals, meditation, or simply adding mystical charm to your decor.",AzureGreen,Metaphysical Supplies,"Tealight holders,Home Decor,All Candle Holders & Oil diffusers,Sun & Stars,All Candles & Candle Accessories,Illuminations,Alchemical Elixirs,The Way to Resonance",TRUE,Title,Default Title,CH3461,226,shopify,16,deny,azuregreen,33.89,,TRUE,TRUE,,https://www.azuregreen.net/images/CH3461.jpg,1,"3 5/8"" Astrological holder",FALSE,active
ch3485-4-day-of-the-dead-holder,"4"" Day of the Dead holder","A peaceful Day of the Dead tealight holder featuring a woman with a painted skull face, eyes closed, and long red wavy hair decorated with bright flowers. The tealight sits right on top of her head, casting a soft glow.",AzureGreen,Metaphysical Supplies,"Tealight holders,Featured Products,All Candle Holders & Oil diffusers,All Candles & Candle Accessories,Illuminations,Alchemical Elixirs,The Way to Resonance",TRUE,Title,Default Title,CH3485,453,shopify,19,deny,azuregreen,49.75,,TRUE,TRUE,,https://www.azuregreen.net/images/CH3485.jpg,1,"4"" Day of the Dead holder",FALSE,active
ch40w-white-ceramic-chime-holder,White Ceramic chime holder,"Simple, elegant, and easily fitting anywhere in the home or upon the altar, these white ceramic chime candle holders are must haves for anyone who practices candle magic or simply enjoys the light of chime candles. Glazed a pure white, these candle holders measure 1/2"" in diameter and 1"" tall, and are intended to hold 1/2"" diameter chime candles C4's.",AzureGreen,Metaphysical Supplies,"Best Sellers,Chime Candle Holders,All Candle Holders & Oil diffusers,All Candles & Candle Accessories,Illuminations,Alchemical Elixirs,The Way to Resonance",FALSE,Title,Default Title,CH40W,45,shopify,0,deny,azuregreen,11.22,,TRUE,TRUE,,https://www.azuregreen.net/images/CH40WA.jpg,1,White Ceramic chime holder,FALSE,active
ch4114-silver-ceramic-holder,Silver ceramic holder,"Perfect little ceramic chime candle holder painted silver. Fits 1/2"" chime candles.",AzureGreen,Metaphysical Supplies,"Chime Candle Holders,All Candle Holders & Oil diffusers,All Candles & Candle Accessories,Illuminations,Alchemical Elixirs,The Way to Resonance",FALSE,Title,Default Title,CH4114,68,shopify,0,deny,azuregreen,11.22,,TRUE,TRUE,,https://www.azuregreen.net/images/CH4114.jpg,1,Silver ceramic holder,FALSE,active
ch4115-gold-ceramic-holder,Gold ceramic holder,"Perfect little ceramic chime candle holder painted gold. Fits 1/2"" chime candles.",AzureGreen,Metaphysical Supplies,"Chime Candle Holders,All Candle Holders & Oil diffusers,All Candles & Candle Accessories,Illuminations,Alchemical Elixirs,The Way to Resonance",TRUE,Title,Default Title,CH4115,68,shopify,16,deny,azuregreen,11.22,,TRUE,TRUE,,https://www.azuregreen.net/images/CH4115.jpg,1,Gold ceramic holder,FALSE,active
ch4153-7-triple-moon-candle-holder,"7"" Triple Moon candle holder","Triple moon iron taper candle holder. This makes for a powerful altar piece or makes a great addition to any surface. Stands approximately 7""",AzureGreen,Metaphysical Supplies,"Best Sellers,Taper Holders,All Candle Holders & Oil diffusers,Moon Products,All Candles & Candle Accessories,Illuminations,Alchemical Elixirs,The Way to Resonance",TRUE,Title,Default Title,CH4153,680,shopify,46,deny,azuregreen,31.62,,TRUE,TRUE,,https://www.azuregreen.net/images/CH4153.jpg,1,"7"" Triple Moon candle holder",FALSE,active
ch4154-7-1-2-moon-phases-holder,"7 1/2"" Moon Phases holder","Impressive Moon Phase iron candle holder with a stained wooden base. Great piece for your altar or any environment. Approximately 7 1/2"" wide and stands 5"" and holds up to 7 taper candles.",AzureGreen,Metaphysical Supplies,"Taper Holders,All Candle Holders & Oil diffusers,All Candles & Candle Accessories,Illuminations,Alchemical Elixirs,The Way to Resonance",TRUE,Title,Default Title,CH4154,453,shopify,62,deny,azuregreen,63.35,,TRUE,TRUE,,https://www.azuregreen.net/images/CH4154.jpg,1,"7 1/2"" Moon Phases holder",FALSE,active
ch4295-moon-star-black-ceramic-holder,Moon & Star Black ceramic holder,"Perfect little ceramic chime candle holder with the symbol of the Moon on the front. A glossy black glazed holder that fits 1/2"" chime candles.",AzureGreen,Metaphysical Supplies,"Best Sellers,Chime Candle Holders,All Candle Holders & Oil diffusers,Moon Products,Sun & Stars,All Candles & Candle Accessories,Illuminations,Alchemical Elixirs,The Way to Resonance",TRUE,Title,Default Title,CH4295,68,shopify,33,deny,azuregreen,11.22,,TRUE,TRUE,,https://www.azuregreen.net/images/CH4295A.jpg,1,Moon & Star Black ceramic holder,FALSE,active
ch4297-triple-moon-black-ceramic-holder,Triple Moon Black ceramic holder,"Perfect little ceramic chime candle holder with the symbol of the triple moon on the front. A glossy black glazed holder that fits 1/2"" chime candles.",AzureGreen,Metaphysical Supplies,"Best Sellers,Chime Candle Holders,All Candle Holders & Oil diffusers,All Candles & Candle Accessories,Illuminations,Alchemical Elixirs,The Way to Resonance",FALSE,Title,Default Title,CH4297,68,shopify,0,deny,azuregreen,11.22,,TRUE,TRUE,,https://www.azuregreen.net/images/CH4297A.jpg,1,Triple Moon Black ceramic holder,FALSE,active
ch522-star-household-candle-holder,Star Household candle holder,"Created in the image of a seven-pointed Fairy Star, this copper/gold or silver toned candle holder is designed to taper candles. 3"" across the bottom.",AzureGreen,Metaphysical Supplies,"Best Sellers,Taper Holders,All Candle Holders & Oil diffusers,Sun & Stars,All Candles & Candle Accessories,Illuminations,Alchemical Elixirs,The Way to Resonance",TRUE,Title,Default Title,CH522,90,shopify,604,deny,azuregreen,7.37,,TRUE,TRUE,,https://www.azuregreen.net/images/CH5222.jpg,1,Star Household candle holder,FALSE,active
ch7333-brass-chambersticktaper-candle-holder,Brass ChamberstickTaper candle holder,"Quaint teacup style, Brass Chamber stick Taper candle holder, shiny and solid, with handle on side of bottom base. 3 1/4"" wide x 2 1/4"" high.  Use with C6 or C7 candles.",AzureGreen,Metaphysical Supplies,"Taper Holders,All Candle Holders & Oil diffusers,All Candles & Candle Accessories,Illuminations,Alchemical Elixirs,The Way to Resonance",TRUE,Title,Default Title,CH7333,136,shopify,48,deny,azuregreen,31.62,,TRUE,TRUE,,https://www.azuregreen.net/images/CH7333.jpg,1,Brass ChamberstickTaper candle holder,FALSE,active
ch81-brass-mini-candle-holder,Brass mini candle holder,"Made to resemble an old fashion candle holder; this candle holder is made of a cup sized to fit a mini candle on a plate with a finger ring attached. Brass. 2 1/2"" tall.",AzureGreen,Metaphysical Supplies,"Best Sellers,Mini Candle Holder,All Candle Holders & Oil diffusers,All Candles & Candle Accessories,Illuminations,Alchemical Elixirs,The Way to Resonance",TRUE,Title,Default Title,CH81,136,shopify,89,deny,azuregreen,24.82,,TRUE,TRUE,,https://www.azuregreen.net/images/CH81.JPG,1,Brass mini candle holder,FALSE,active
ch81n-nickel-mini-candle-holder,Nickel mini candle holder,"Made to resemble an old fashion candle holder; this candle holder is made of a cup sized to fit a mini candle on a plate with a finger ring attached. Nickel. 2 1/2"" tall.",AzureGreen,Metaphysical Supplies,"Mini Candle Holder,All Candle Holders & Oil diffusers,All Candles & Candle Accessories,Illuminations,Alchemical Elixirs,The Way to Resonance",FALSE,Title,Default Title,CH81N,136,shopify,0,deny,azuregreen,27.09,,TRUE,TRUE,,https://www.azuregreen.net/images/CH81N.jpg,1,Nickel mini candle holder,FALSE,active
chao12-black-pillar-holder,Black Pillar holder,"This is a black powder coated metal pillar holder designed exclusively for Crystal Journey herbal pillars. Will fit pillars up to 3"" wide. 4"" x 3 1/2""",AzureGreen,Metaphysical Supplies,"Pillar Holders,All Candle Holders & Oil diffusers,All Candles & Candle Accessories,Illuminations,Alchemical Elixirs,The Way to Resonance",TRUE,Title,Default Title,CHAO12,226,shopify,77,deny,azuregreen,13.49,,TRUE,TRUE,,https://www.azuregreen.net/images/CHAO12.jpg,1,Black Pillar holder,FALSE,active
