"NUMBER","INETSHORTD"
"A4502A              ","Embossed with an angel, this pocket stone functions as a powerful focus during your ritual magic and meditation. Pewter. 1"" x 5/8"" Made in USA"
"A4502B              ","This pewter pocket stone bears the image of the Buddha. This is intended to remind you to seek inner peace and the middle way in all things. Pewter. 3/4"".  Made in USA"
"A4502C              ","A favorite token of good luck, the four-leaf clover, has been engraved in this pocket stone. Carry it with you for good luck. Pewter. 5/8"" x 1"" Made in USA"
"A4502CR             ","The cross-pocket stone features the cut out of a cross in a pewter stone. Pewter. 1"" x 5/8"" Made in USA"
"A4502GO             ","The Goddess Pocket stone is a great focus to help you stay in tune with the divine feminine or help guide you through your meditations.  Pewter. 1"" x 5/8"" Made in USA"
"A4502H              ","A small, heart shaped, pewter pocket stone decorated with tiny swirls.  Pewter. 1"" x 5/8"" Made in USA"
"A4502HA             ","The Hamsa Pocket Stone portrays the Hamsa Hand; an ancient symbol used most frequently to ward off the evil eye. Pewter. 1"" x 5/8"" Made in USA"
"A4502OM             ","This pocket stone inscribed with the Om symbol is a potent aid, helping you to find a connection with the divine when you need it most.  Pewter. 1"" x 5/8"" Made in USA"
"A4502P              ","With a Peace Sign marking its face, this pewter stone is a great meditation or prayer aid when seeking calm and serenity. Pewter. 1"" x 5/8"" Made in USA"
"A4502ST             ","Embossed with a pentagram, this pocket stone functions as a powerful focus during your ritual magic and meditation. Pewter. 1"" x 5/8"" Made in USA"
"A4502WH             ","Displaying the classic Witch's Hat, this pocket stone can function as a powerful focus to aid you in turning negative energy into positive.  Pewter. 1"" x 5/8"" Made in USA"
"A4502WI             ","Witch on a broom is a classic figure. Use as a talisman, worry stone, or in a mojo pouch. Solid pewter Heavy casting. 1"" Made in USA."
"A4506RA             ","Unlock secrets, wisdom, and wellness through the aid of the Raven with the Raven Mystical stone talisman.  Pewter. 1 1/4"" x 7/8"" Made in USA"
"A7MET               ","Using alchemy this amulet uses lead, tin, iron, gold, copper, mercury and silver fused onto a base of pyrite. Tapping into the power of alchemy and astrology multiplied by 7, bringing you luck and prosperity. No cord. 1/2"""
"AACHG               ","Get ready to conquer your dreams with our Achievements of Goals amulet! This stunning piece comes with a silver-toned chain and a 1"" pendant, making it the perfect accessory to showcase your determination. The 22"" chain ensures a comfortable fit, while the approximate sizes add a touch of uniqueness. Let this amulet be a constant reminder of your aspirations and a symbol of your unstoppable drive."
"AARR2               ","Arrows have various personal meaning and worn as a reminder of your intention. 2 1/2"" long with size being approximate"
"AARRH               ","A simple yet powerful arrowhead pendant. Arrowheads are often known as a symbol of protection, strength and courage. Size is approximate"
"ABRILF              ","Enhance your life with our sacred talisman, designed to attract friendship, prosperity, and luck. Measuring 1 3/4"" in size, this powerful charm comes with a cord for easy wearing and carrying. "
"ACCELD              ","Since ancient times people have respected the forces of nature, seeing divinity in Mother Earth, the Sun, the Moon, and in all life. The creative energies of the universe are represented by Celestial bodies, personified as Feminine and Masculine, and honored in rituals celebrating cycles of the year. Celestial Dragon amulet, measuring 1 3/4"" long and 1 1/2"" wide."
"ACCELM              ","The Celtic Moon celestial amulet is a great aid when you are seeking blessings for positive change in your life. Has cord. Pewter. 1 1/2"" x 3/4"". Made in USA"
"ACDRAM              ","Displaying a dragon curled as though it were the crescent moon, this amulet is a great focus to for helping to draw lunar energies. Has cord. Pewter. 1 1/4"" x 1"". Made in USA"
"ACELKN              ","Four corner knot celtic design! A symbol of strength and protection. Celtic knots are complete loops that have no start or finish and could be said to represent eternity, means loyalty, faith, friendship or love. Only one thread is used in each design which symbolizes how life and eternity.

This eye-catching and stylish, this Celtic pendant necklace is perfect for adding a glamorous touch to your special occasion look. Suitable for any occasion, easy to match any clothes, a lovely adornment you'd like to wear everyday.

Comes on chain.

"
"ACGRE               ","Displaying the Greenman, the traditional symbol for nature’s rebirth, this amulet is a powerful aid in seeking transformation and rebirth of your own. Has cord. Pewter. 1 1/4"" Made in USA"
"ACHIC               ","A recipe of ingredients with different esoteric and energetic meanings of intention. Your kit will include a dollar in the shape of a star for spiritual knowledge, crystals, a gold-colored coin and pouch for good fortune."
"ACHOW               ","This lead-free pewter amulet showing a crescent moon and stars overlaid with a howling wolf will aid you in calling upon the Moon and Goddess. Has cord. Pewter. 1 1/2"" x 1 1/4"". Made in USA"
"ACNAT               ","Inspired and created around the Celtic word for snake, Nathair, this amulet is a token intended to bring wisdom and guidance into your life. Has cord. Pewter. 1 1/4"" Made in USA"
"ACONDE              ","Enhance your protection with this potent amulet designed to bring confusion and chaos among your adversaries. Crafted from pewter, this pendant measures 1 1/4"" and includes a cord for easy wearing."
"ACONP               ","Elevate your spiritual journey with our Conjuration of Powers amulet. Crafted with a silver-toned finish, this pendant exudes an aura of mystique and power. The pendant, measuring approximately 1 1/4"", is elegantly suspended from a 22 1/2-inch chain, allowing you to wear it comfortably and showcase its enchanting design. Whether you seek to tap into your inner strength or manifest your desires, this amulet is a symbol of empowerment and connection to higher realms. Embrace the magic and unlock your true potential with our Conjuration of Powers amulet."
"ACPENM              ","Draw upon the mystic power of the moon with the Pentacle Moon celestial amulet, which is intended to help you surround yourself with lunar energies. Has cord. Pewter. 1 1/4"" Made in USA"
"ACTHO               ","This amulet bears Thor’s head within his hammer, his beard twirled into Celtic knotwork. A powerful symbol of strength, power and eternal protection. Has cord. Pewter. 1 1/2"" x 1 1/4"" Made in USA"
"ACTRE               ","With night and day, between its canopy and its roots, the Celtic Tree of Life bridges the gap between heaven and earth. Has cord. Pewter. 1 1/4"" Made in USA"
"ACTRI               ","Triskele amulet, the triple goddess symbolizes the trinity in all of its forms. Body, mind, and spirit: mother, maiden, and crone and the Christian trinity, the father, son, and Holy Spirit. Lead free pewter and made in the USA. 1 1/2"""
"ACTRIS              ","Displaying a triskele upon a round shield, this amulet represents the cycle of mind, body and spirit, and can aid you in your search for spiritual growth. Has cord. Pewter. 1 1/4"" Made in USA"
"ACUNI               ","The sun, moon, planets and stars gathered within the same circle of harmony. Useful in finding peace from the universal balance around us. Has cord. Pewter. 1 1/2"" x 1"" Made in USA"
"ACVENR              ","A moon made partly with Celtic knotwork and a manmade gem between the tips of the crescent, this amulet is great for love spells, and magic of passion. Has cord. Pewter. 1 1/4"" Made in USA"
"ACWIN               ","Wear the Windblown Celestial Amulet or use it in your spell craft to help find spiritual and emotional shelter when the winds of life have blown you off course. Has cord. Pewter. 1 1/4"" Made in USA."
"ADESEN              ","Introducing our silver toned Destroy Enemies talisman, a powerful accessory designed to help you overcome any obstacles in your path. With its sleek design and intricate detailing, this talisman is not only a symbol of strength but also a stylish addition to any outfit. With its sleek design and intricate detailing, this talisman is not only a symbol of strength but also a stylish addition to any outfit. Whether you're facing personal challenges or dealing with negative energies, this talisman is here to provide you with protection and empower you to conquer your enemies."
"ADISS               ","A whisper of hidden knowledge, now within reach. This talisman is designed to help attune your senses to subtle truths, gently opening doors to insights that were just out of view. Its energy encourages curiosity, clarity, and quiet revelation, like carrying a pocket-sized key to the unseen. Comes with a 22"" chain"
"ADIST               ","Introducing the Discover Treasures amulet, a stunning silver toned pendant that is sure to catch everyone's attention. The pendant comes with a 22"" chain, allowing you to wear it comfortably and showcase its beauty.  Measuring at 1 1/2"", the pendant is the perfect size to make a statement without being too overwhelming. Please note that sizes may vary slightly due to the handmade nature of the pendant."
"ADIVP               ","This powerful amulet is designed to provide the wearer with protection against evil and negativity, offering divine shielding and guarding properties. Measuring 1"" in size, it comes with a convenient cord for easy wearing."
"AEEPRO              ","Evil Eye of protection with cascading glass eyes that are the same on both sides. Protect yourself and your energy with this great hanging piece. Hangs 5 1/2"" with sizes that may vary."
"AEVIE               ","This is a small but powerful evil eye amulet. Gold toned hardware and approximately 1/2"" with hardware, evil eye itself is 1/4"""
"AEVIEH              ","Evil eye wall hanging: this is thick blown glass with an outer ring of translucent deep blue glass and opaque inner circles of white, blue, and black. Hang where light can strike it for extra color. Try in on your wall, rear view mirror or window to keep evil away. Has hanging cord.
"
"AFATH               ","A silvertone Fatima hand with a spinning Evil Eye in the center. Approximately 3/4"""
"AFOOG               ","Carry this piece of Fool's Gold in a gris gris or mojo bag or even just in your pocket or purse to help attract money and prosperity into your life. Pyrite. 3/4"" - 1"""
"AGFER               ","This amulet displays the Goddess, framed within he raised arms with a spiral pattern marking her womb. Has cord. Pewter. 1 1/2"" x 1/2"". Made in USA"
"AGIVHP              ","Enhance your well-being with our Give Healing Power amulet, a stunning silver-toned pendant that comes with a 22 1/2 inch chain. The pendant itself measures around 1 1/4 inches, making it the perfect accessory to carry with you wherever you go.


"
"AGIVK               ","Enhance your wisdom with our Give Knowledge amulet. Crafted with a silver-toned finish, this pendant exudes elegance and intellect. The pendant measures approximately 1 1/4"" and comes with a 20"" chain, allowing you to wear it comfortably. Unlock the power of knowledge and let this amulet guide you on your quest for enlightenment."
"AGLOT               ","With its roots in the mud, the Lotus rises through water until it blossoms as a flower above its surface. Always reaching towards the light, we are reminded of our own spiritual journey towards enlightenment and purity. Lotus Goddess amulet with cord. 1 1/2"" with cord."
"AGMOO               ","Moon Goddess pendant for consciousness. The waxing, full, and waning phases of the moon symbolize the cycle of life from birth to death. The Moon Goddess brings light to connection with the universal consciousness. Pendant length is 1 1/2"" and comes with cord."
"AGPROS              ","Prosperity Goddess pendant for Abundance. In opening up our hearts to giving and receiving, blessings and gifts come easily. Abundance and joy flow in our life. The Goddess of Prosperity is the embodiment of success and fulfillment. Pendant length is 1 1/2"" and comes with cord."
"AHCOM               ","Celtic harmony Completion pendant. Celtic knots are generally formed of endless lines signifying the binding of the soul to the physical world. The 10 points surrounding the knotwork are symbolic of completion within life. Pendant length is 1 1/2"" and comes with cord."
"AHEARH              ","Celtic harmony pendant for Earth harmony. The wheel shape, (or circle) represents man's harmony with nature. It radiates gentle peace and possesses soothing qualities. The circle is the spirit of Earth harmony. 1 1/2"" Pendant that comes with a cord."
"AHPRO               ","This amulet depicts a maze bordered in woven Celtic knots. This has long been held as a powerful form of protection against negative energy. Has cord. Pewter. 1 1/4"" Made in USA"
"AHSPIA              ","Celtic harmony pendant for spiritual awakening. Celtic spirals represent beginnings and births as in flowering buds. The cross with spirals symbolizes new spiritual awakenings. 1 1/2"" Pendant with cord."
"AIDSS               ","Introducing the Discover Treasures amulet, a stunning silver toned pendant that is sure to catch everyone's attention. The pendant comes with a 22"" chain, allowing you to wear it comfortably and showcase its beauty.  Measuring at 1 1/2"", the pendant is the perfect size to make a statement without being too overwhelming. Please note that sizes may vary slightly due to the handmade nature of the pendant."
"AINDH               ","This amulet is a depiction of a chief with a detail headdress. Made in India and size is approximate"
"AJOBT               ","A natural talisman carrying gentle protection and grounding energy. This amulet features 7 Job’s Tears, each believed to attract luck, clarity, and resilience. For best results wear or carry on you."
"AKEY3               ","Keys have been a long time symbol of opening and closings, liberation, as well unlocking the key to your heart. Wear this as an extention of your desire. Size is approximate."
"ALEGAH              ","This Azabache Hand is a protective talisman and as an Evil Eye lucky charm. Approximately 1"""
"ALUC8               ","This amulet is blessed and inscribed for prosperity and good luck. The powerful symbols enrich you and produce abundance of wealth and happiness. 1 1/2"" with cord."
"ALUCC               ","Wearing a 4-leaf clover is said to bestow faith, hope, love and luck upon the wearer. Silver toned and approximately 1/2"""
"AMONT               ","This is a silver toned Money Tree talisman. Attached to a 22"" chain with pendant measuring 1 1/2"""
"AMYSE               ","The Mystic Eye is a powerful symbol of spiritual awakening, protection and watchfulness over humanity. Size is approximate and amulet only"
"AOCHA               ","This is a bow and arrowing symbolizing Ochosis. Silver toned and approximately 1"""
"APEAG               ","Radiate good vibes with this gold-toned peace sign pendant. Features an adjustable cord ensures a comfortable fit for any style."
"APEN                ","A simple interwoven Pentagram on a silver toned jump ring. Approximately 5/8''"
"APEW1               ","pewter blanks for jewelry making."
"APROA               ","Keep yourself safe and protected with our Protect from Accidents amulet. This amulet comes with a silver chain and features a 1 1/4"" pendant, making it a stylish and practical accessory to wear every day. The 22"" chain ensures a comfortable fit, while the protective properties of the amulet give you peace of mind wherever you go. Stay safe and stylish with this must-have accessory."
"ARURU               ","Rune pendant Uruz is the symbol for wild Ox. Rune of strength and good health. Indicates ability to resist disease. Pendant measures 1"" and comes with a cord."
"ASCI                ","Scissors are not just for cutting physical items, it can be a powerful symbol of seperation, such as energy ties. Can also be a means of unity and intertwing in relation to other people in our lives. Wear this as an extention of your intention. Size is approximate"
"ASECM               ","This Secrets of Money talisman is intended to empower your spells of money drawing and attract wealth. Fobs and colors vary. Has cord. Pewter. 1 1/4” x 1”"
"ASHADA              ","A Chango Orisha amulet pendant. Approximately 1 1/2"" long"
"ASKE                ","A silvertone skeleton measuring approximately 1 1/2"""
"ASNA                ","A silver toned slithering snake amulet. Measures approximately 1 1/2"""
"ASOLH               ","An ancient symbol of wisdom and divine protection. The Hexagram, also known as the Seal of Solomon unites opposing forces in perfect harmony. This powerful amulet is believed to shield the wearer from negative energies while enhancing spiritual insight, clarity, and inner strength. On a 22"" chain"
"ASOLMD              ","This is a silver toned Solomon's magic discovery pendant. Attached to a 22 1/2"" chain with pendant measuring approximately 1 1/4"""
"ASOLP               ","Elevate your style with the Solomon's Pentagram amulet. This stunning pendant comes with a sleek silver toned chain, adding a touch of power to any outfit. The 1"" pendant is perfectly complemented by the 22"" chain, creating a balanced and fashionable look. Please note that sizes are approximate, ensuring a comfortable fit for all."
"ASOLS               ","Enhance your style with this elegant silver toned Solomon's Seal pendant, perfect for everyday wear or special occasions. The pendant is attached to a 22 1/2 inch chain, making it a versatile accessory that can be easily paired with any outfit. With a pendant measuring approximately 1 inch, this amulet is a subtle yet eye-catching addition to your jewelry collection. Solomon's Seal adds a touch of mystique, making it a must-have piece for those who appreciate unique and meaningful jewelry."
"ASTBEN              ","Wear this Saint Benedict amulet to protect you from curses, evil and vice. This powerful piece will also help protect you against diseases. Image shows front and back and these are sold by the piece."
"ATIBBON23           ","Each of these bone charms have been carved with symbols for protection and empowerment. No two are alike! No cord. 1 1/4"""
"ATRAV               ","Reach out to the Raven to aid you in guarding your secrets, overcoming obstacles, and otherwise aiding you in your daily trials with this amulet. Made in USA. Has cord. Pewter. 1"" x 1"" Made in USA"
"ATREL               ","Wear this Tree of Life amulet as a sacred symbol of connection. Represented through its roots being the connection below and its branches reaching upward to the above. Size is approximate. Pendant only"
"ATRETMP             ","This Tree of Life pendant with a Triple Moon design is a stunning piece of jewelry. Made from pewter, it features intricate detailing that adds to its overall charm. Measuring 1 1/4"" in size, it is the perfect accessory to showcase your love for nature and spirituality."
"ATRIL               ","Triquetra an ancient symbol holding the idea of God, Son, and Holy Spirit. Simple yet powerful Triquetra pendant."
"ATRIMP              ","This 1 1/8 Triple Moon Pentagram amulet is a beautiful representation of the Triple Moon goddess symbol, accented with a Pentagram in the middle. The design is simple yet powerful, making it a perfect accessory for anyone drawn to the energies of the moon and the elements. The size of the amulet is approximate, adding to its unique charm and appeal."
"ATRIQU              ","Triquetra an ancient symbol holding the idea of God, Son, and Holy Spirit. Simple yet powerful Triquetra pendant."
"AWATT               ","This amulet uses this powerful symbolism to empower your spells, particularly love spells and spells of money drawing. Made in USA. Has cord. Pewter. 1 1/2” x 1”"
"AWBAL               ","This amulet is a powerful symbol of the Goddess, and a great focus for balancing your energies as well as the energies around you. Made in USA. Has cord. Pewter. 1 1/2” x 1”.  Made in USA"
"AWDIR               ","Shaped like a dagger, this small amulet is intended to help direct spiritual energies in a fashion similar to an athame. Made in USA. Has cord. Pewter. 2"" x 1/2"""
"AWINF               ","Elevate your style with this stunning silver toned Win the Female talisman necklace. The 22"" chain perfectly complements the 1 1/4"" pendant, making it a versatile piece for any outfit or occasion. "
"AWNEW               ","Showing a sky clad woman raising an offering before a pentagram, this amulet is intended to aid you in being ready for a new beginning. Silver toned and has cord. Pewter. 1 3/4” x 1 1/4” Made in USA"
"AWPOW               ","The Goddess standing within a horizontal, crescent moon is a powerful representation of the feminine divine. Made in USA. Has cord. Pewter. 1 1/2” "
"AWPRO               ","This amulet is a powerful aid in keeping evil spirits and curses from reaching the intended target, offering protection to the wearer. Made in USA. Has cord. Pewter. 1”. "
"AWSPI               ","The pentagram representing a mortal life and the cauldron the womb, this amulet is a powerful aid in your search for spiritual rebirth. Made in USA. Has cord. Pewter. 1 3/4” x 3/4”"
"AWSTA               ","Wear this amulet of a braided crescent moon and interwoven pentagram, to find strength and stability within you and without. Made in USA. Has cord. Pewter. 1 1/4”"
"AWWIS               ","A crescent moon, encircled in mists that form the wizened face of an old man, this amulet is a powerful symbol of the divinity that shrouds us. Made in USA. Has cord. Pewter. 1 1/4”"
"B200SPE             ","Amaze your friends, confound your enemies, and impress your professors with 200 spells for the young witch and wizard, an enchanting collection of two hundred brand-new spells, curses, jinxes, and other incantations for kids. Each entry includes a diagram for moving your wand, difficulty level, and important (and usually hilarious) warnings on what can, uh, go wrong. Add these new spells to your Harry Potter favorites and win every duel! A 5.2"" x 8.1 hardcover book with 212 pages for readers ages 6-12."
