Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Status
dbnat-nature-mini-bag,Nature mini bag,"Perfect little drawstring pouches for mini tarot cards or crystals. Each pouch is unique with a nature themed pattern and is lined with a coordinating fabric for extra care or your goodies. Will fit most mini-Tarot decks. Seen in image is only some of the great patterns that may change with each batch! Sold individually and we choose. Made in U.S.A. 5 1/2"" x 4 1/2"" Made in U.S.A.",AzureGreen,Metaphysical Supplies,"Bags, Pouches & Totes,Tarot & Rune Pouches,All Divination,Divination Tools,The Way to Resonance",FALSE,Title,Default Title,DBNAT,22,shopify,0,deny,azuregreen,24.82,,TRUE,TRUE,,https://www.azuregreen.net/images/DBNATU.jpg,1,Nature mini bag,FALSE,active
dtabmor-tabula-mortem-spirit-board,Tabula Mortem spirit board,Tabula Mortem follows in the tradition of spirit boards yet offers a new approach for establishing contact with the spirit realm. The attractively designed board taps into elemental energy and communicates through a system of ancient symbolic cave runes. The unique planchette can also be used as a pendulum. The 84-page Tabula Mortem guidebook explores the history and mystique of �talking boards� and provides instructions for working with this fascinating device.,AzureGreen,Metaphysical Supplies,"All Divination,Scrying & Divination Tools,Tarot & Divination Kits,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DTABMOR,635,shopify,8,deny,azuregreen,38.42,,TRUE,TRUE,,https://www.azuregreen.net/images/DTABMOR.jpg,1,Tabula Mortem spirit board,FALSE,active
fat3035-4-x-5-1-4-stoner-tarot-card-ashtray,"4"" x 5 1/4"" Stoner Tarot Card ashtray","This Stoner ashtray is a fun piece to safely extinguish your smokable items. Great Tarot card style image of a pot leaf lays on the bottom of this black ceramic ashtray. 4"" x 5 1/4"" sizes &amp; colors may vary slightly.",AzureGreen,Metaphysical Supplies,"Novelty & Gift Ideas,Ashtrays,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,FAT3035,362,shopify,43,deny,azuregreen,27.09,,TRUE,TRUE,,https://www.azuregreen.net/images/FAT3035.jpg,1,"4"" x 5 1/4"" Stoner Tarot Card ashtray",FALSE,active
fb3077-3-3-4-x-5-1-2-cat-tarot-box,"3 3/4""x 5 1/2"" Cat Tarot box","Magickal Cat Tarot Box, Great for holding your Tarot Cards or just about anything else! 3 3/4 x 5 1/2""",AzureGreen,Metaphysical Supplies,"Boxes, Chests & Tables,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,FB3077,544,shopify,9,deny,azuregreen,61.09,,TRUE,TRUE,,https://www.azuregreen.net/images/FB3077.jpg,1,"3 3/4""x 5 1/2"" Cat Tarot box",FALSE,active
fb3163-3-3-4-x-5-1-2-sun-moon-tarot-box,"3 3/4""x 5 1/2"" Sun & Moon tarot box",A great celestial design with a sun and moon adorns the top of this tarot box. Keep your card or keepsakes safe in this solid resin box.,AzureGreen,Metaphysical Supplies,"Boxes, Chests & Tables,Moon Products,Sun & Stars,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,FB3163,725,shopify,8,deny,azuregreen,63.35,,TRUE,TRUE,,https://www.azuregreen.net/images/FB3163.jpg,1,"3 3/4""x 5 1/2"" Sun & Moon tarot box",FALSE,active
fd01-set-of-2-12-x-4-3-4-copper-drowsing-rod,"(set of 2) 12"" x 4 3/4"" copper Drowsing Rod","Discover the power of our Copper Dowsing Rods, crafted from high-quality copper with a sleek copper plating. These rods are designed to enhance your energy flow and boost your psychic abilities, making them perfect for dowsing, energy work, or simply exploring your intuitive side. Whether you're a seasoned practitioner or just starting out, these rods will help you tap into your inner energy and uncover hidden insights. Copper will tarnish and require polishing.",AzureGreen,Metaphysical Supplies,"Novelty & Gift Ideas,All Divination,Scrying & Divination Tools,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,FD01,226,shopify,52,deny,azuregreen,52.02,,TRUE,TRUE,,https://www.azuregreen.net/images/FD01.jpg,1,"(set of 2) 12"" x 4 3/4"" copper Drowsing Rod",FALSE,active
fd3450-4-1-2-x-6-1-2-sun-tarot-dish,"4 1/2"" x 6 1/2"" Sun tarot dish","This stunning ceramic dish brings the radiant energy of The Sun tarot card to life. Delicate gold edging frames this dish. Perfect for holding jewelry, crystals, or small trinkets.",AzureGreen,Metaphysical Supplies,"Bowls, Plates & Mugs,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,FD3450,408,shopify,45,deny,azuregreen,38.42,,TRUE,TRUE,,https://www.azuregreen.net/images/FD3450.jpg,1,"4 1/2"" x 6 1/2"" Sun tarot dish",FALSE,active
fd3451-4-1-2-x-6-1-2-moon-tarot-dish,"4 1/2"" x 6 1/2"" Moon tarot dish","This stunning ceramic dish brings the intuitive energy of The Moon tarot card to life. Delicate gold edging frames this dish. Perfect for holding jewelry, crystals, or small trinkets.",AzureGreen,Metaphysical Supplies,"Home Decor,Bowls, Plates & Mugs,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,FD3451,408,shopify,45,deny,azuregreen,38.42,,TRUE,TRUE,,https://www.azuregreen.net/images/FD3451.jpg,1,"4 1/2"" x 6 1/2"" Moon tarot dish",FALSE,active
fd3452-4-1-2-x-6-1-2-wheel-of-furtune-tarot-dish,"4 1/2"" x 6 1/2"" Wheel of Furtune tarot dish","This stunning ceramic dish brings the energy of the Wheel of Fortune tarot card to life. Delicate gold edging frames this dish. Perfect for holding jewelry, crystals, or small trinkets.",AzureGreen,Metaphysical Supplies,"Bowls, Plates & Mugs,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,FD3452,408,shopify,44,deny,azuregreen,38.42,,TRUE,TRUE,,https://www.azuregreen.net/images/FD3452.jpg,1,"4 1/2"" x 6 1/2"" Wheel of Furtune tarot dish",FALSE,active
fd3453-4-1-2-x-6-1-2-star-tarot-dish,"4 1/2"" x 6 1/2"" Star tarot dish","This stunning ceramic dish brings the radiant energy of The Star tarot card to life. Delicate gold edging frames this dish. Perfect for holding jewelry, crystals, or small trinkets.",AzureGreen,Metaphysical Supplies,"Bowls, Plates & Mugs,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,FD3453,408,shopify,47,deny,azuregreen,38.42,,TRUE,TRUE,,https://www.azuregreen.net/images/FD3453.jpg,1,"4 1/2"" x 6 1/2"" Star tarot dish",FALSE,active
