Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Status
b200spe-200-spells-for-young-witch-wizard-hc-by-kilkenny-knickerbocker,200 Spells for Young Witch & Wizard (hc) by Kilkenny Knickerbocker,"Amaze your friends, confound your enemies, and impress your professors with 200 spells for the young witch and wizard, an enchanting collection of two hundred brand-new spells, curses, jinxes, and other incantations for kids. Each entry includes a diagram for moving your wand, difficulty level, and important (and usually hilarious) warnings on what can, uh, go wrong. Add these new spells to your Harry Potter favorites and win every duel! A 5.2"" x 8.1 hardcover book with 212 pages for readers ages 6-12.",AzureGreen,Metaphysical Supplies,"Spellcraft, Witchcraft & Magic,Kids Books, Mythical Creatures, Dragons & Fairies,All Books & Journals,Ritual Tools,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,B200SPE,408,shopify,2,deny,azuregreen,36.24,,TRUE,TRUE,,https://www.azuregreen.net/images/B200SPE.jpg,1,200 Spells for Young Witch & Wizard (hc) by Kilkenny Knickerbocker,FALSE,active
badvwit-advanced-witchcraft-by-patricia-telesco,Advanced Witchcraft by Patricia Telesco,"Written for those who are looking for deeper levels of intuitive awareness and for those who are already on their magical journey, Advanced Witchcraft is a powerful book of spellcraft and lessons. Learn how to not just practice but also live your magic, gaining insight into concepts such as dreamwork, trancework, and pathworking. Work with natural and elemental spirits and take steps toward spiritual safety. Master shape-shifting, glamour, and the crafting of talismans and charms. If you are in a place where you don�t know what the next witchy step is, Advanced Witchcraft is here to be your guide. A paperback book with 200 pages",AzureGreen,Metaphysical Supplies,"Spellcraft, Witchcraft & Magic,All Books & Journals,Ritual Tools,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BADVWIT,226,shopify,7,deny,azuregreen,45.22,,TRUE,TRUE,,https://www.azuregreen.net/images/BADVWIT.jpg,1,Advanced Witchcraft by Patricia Telesco,FALSE,active
baframem-african-american-magick-by-stephanie-rose-bird,African American Magick by Stephanie Rose Bird,"An inspired herbal guide to natural living with ancient techniques, remedies, and rituals from around the world centered on the rhythms of the seasons. The changing of the seasons is magickal, green leaves transforming into browns and golds, snow melting to show fresh buds. We all recognize these telltale signs, but few of us are aware of the powerful impact each season has on our spiritual lives. Whether sunny, snowy, windy, rainy, cold, or humid, the weather has a dramatic effect on our being wherever we may live. Drawing upon her own ancestral heritage, as well as other cultures and those that have influenced her, Bird offers a lifetime of wisdom and expert botanical knowledge while sharing her path to a holistic and magickal life. Guidance from all over the world, and from classical and modern traditions. A 6"" x 8"" paperback book with 272 pages.",AzureGreen,Metaphysical Supplies,"Spellcraft, Witchcraft & Magic,All Books & Journals,Ritual Tools,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BAFRAMEM,362,shopify,7,deny,azuregreen,45.22,,TRUE,TRUE,,https://www.azuregreen.net/images/BAFRAMEM.jpg,1,African American Magick by Stephanie Rose Bird,FALSE,active
bancegy-ancient-egyptian-magic-by-elenor-harris,Ancient Egyptian Magic by Elenor Harris,"This new edition of Ancient Egyptian Magic takes you step-by step through Egyptian religions, magical philosophy, techniques of divination, and magical formulae thousands of years old. No previous experience with the subject is necessary, Harris explains the ""how"" and ""why"" of magical tools, amulets, words of power, divination, ceremony, and spells. Advanced practitioners will find especially useful instruction on actual Egyptian magical script as found in the ancient papyri such as The Leyden Papyrus, The Papyrus Ani (the Egyptian Book of the Dead), and other important works.",AzureGreen,Metaphysical Supplies,"Spellcraft, Witchcraft & Magic,All Books & Journals,Ritual Tools,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BANCEGY,317,shopify,6,deny,azuregreen,42.95,,TRUE,TRUE,,https://www.azuregreen.net/images/BANCEGY.jpg,1,Ancient Egyptian Magic by Elenor Harris,FALSE,active
bancegym-ancient-egyptian-magic-for-modern-witches-by-ellen-cannon-reed,Ancient Egyptian Magic for Modern Witches by Ellen Cannon Reed,"Rituals, prayers, and songs to bring the wisdom of the gods and goddesses of ancient Egypt to life. Based on Ellen Cannon Reed's twenty-five years of work with deities of ancient Egypt, this book brings an ancient tradition to modern pagan practice. With it, readers will have the tools to continue learning and developing their own methods of honoring the gods and goddesses of ancient Egypt. Over two dozen gods and goddesses are highlighted, including Osiris, Isis, Ra, Bast, Thoth, Sekhmet, and Tefnut. There is also a section devoted to glyphs. Finally, meditations and techniques bring these deities to life, enriching your spiritual path. A 9"" x 6"" Paperback book with 288 pages.",AzureGreen,Metaphysical Supplies,"Spellcraft, Witchcraft & Magic,All Books & Journals,Ritual Tools,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BANCEGYM,408,shopify,11,deny,azuregreen,42.95,,TRUE,TRUE,,https://www.azuregreen.net/images/BANCEGYM.jpg,1,Ancient Egyptian Magic for Modern Witches by Ellen Cannon Reed,FALSE,active
bartwit-art-of-witch-hc-by-fiona-horne,Art of Witch (hc) by Fiona Horne,"The Art of Witch moves beyond bells, whistles, tools and potions, and enters a new era of spiritual mastery for the modern age. Fiona Horne bypasses the old-school rules and traditions and shows you how to learn and grow with the times. This is the guide for the structure-less, and rule book for the revolutionaries. New ways are embraced with the old; what it really means to be a modern Witch is revealed; how to practice authentic Witchcraft now to live a deeply fulfilled life .",AzureGreen,Metaphysical Supplies,"Spellcraft, Witchcraft & Magic,Ritual Tools,The Way to Resonance",TRUE,Title,Default Title,BARTWIT,498,shopify,16,deny,azuregreen,42.95,,TRUE,TRUE,,https://www.azuregreen.net/images/BARTWIT.jpg,1,Art of Witch (hc) by Fiona Horne,FALSE,active
bbabyag-baba-yaga-s-book-of-witchcraft-by-madame-pamita,Baba Yaga's Book of Witchcraft by Madame Pamita,"Discover ancient and modern Slavic magical practices through stories told by the legendary Baba Yaga herself. Learn about the magic of the sun, moon, and stars, as well as the magic of weather, animals, seasons, stones, food, beeswax, and more. Each chapter includes a piece of the fairy tale of Vasylyna, comments from Baba Yaga, and hands-on tips and techniques from author Madame Pamita. With a bounty of tips and information, this book teaches you to embrace the beauty of these traditional practices and reclaim your personal magic. A 7.5"" x 9.25"" paperback book with 336 pages",AzureGreen,Metaphysical Supplies,"Spellcraft, Witchcraft & Magic,All Books & Journals,Ritual Tools,Esoteric Manuscripts,The Way to Resonance",FALSE,Title,Default Title,BBABYAG,771,shopify,0,deny,azuregreen,61.18,,TRUE,TRUE,,https://www.azuregreen.net/images/BBABYAG.jpg,1,Baba Yaga's Book of Witchcraft by Madame Pamita,FALSE,active
bbacwit-backwoods-witchcraft-by-jake-richards,Backwoods Witchcraft by Jake Richards,"In Backwoods Witchcraft, Jake Richards offers up a folksy stew of family stories, lore, omens, rituals, and conjure crafts that he learned from his great-grandmother, his grandmother, and his grandfather, a Baptist minister who Jake remembers could ""rid someone of a fever with an egg or stop up the blood in a wound."" The witchcraft practiced in Appalachia is very much a folk magic of place, a tradition that honors the seen and unseen beings that inhabit the land as well as the soil, roots, and plant life. The materials and tools used in Appalachia witchcraft are readily available from the land. This ""grounded approach"" will be of keen interest to witches and conjure folk regardless of where they live. Readers will be guided in how to build relationships with the spirits and other beings that dwell around them and how to use the materials and tools that are readily available on the land where one lives. Backwoods Witchcraft by Jake Richards. 9""x6"" Soft cover book with 211 pages.",AzureGreen,Metaphysical Supplies,"Spellcraft, Witchcraft & Magic,All Books & Journals,Ritual Tools,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BBACWIT,408,shopify,6,deny,azuregreen,42.95,,TRUE,TRUE,,https://www.azuregreen.net/images/BBACWIT.jpg,1,Backwoods Witchcraft by Jake Richards,FALSE,active
bbblboos-book-of-shadows-magick-spells-rituals-hc-by-anastasia-greywolf,"Book of shadows, Magick, Spells & Rituals (hc) by Anastasia Greywolf","A Handbook of Magic Spells and Potions but that also works perfectly as a journal on its own. She starts by teaching the basics of witchcraft, including an in-depth review of the materials, tools, and ingredients needed; then gives detailed explanations on how to create an altar, find and use essential items for spells, and contact your inner witch power. With this knowledge, you can practice and perfect the 40+ spells and rituals included, from strengthening special friendships to becoming more creative and successful in your life. Each spell is accompanied by a section to record all the details about the spell, followed by reflective journal prompts to give more insight into your intentions, hopes, and wishes for spellcasting. The Book of Shadows is your all-in-one resource to finding your inner witch and transforming your life. The Mystical Handbook series from Wellfleet takes you on a magical journey through the wonderful world of spellcraft and spellcasting. Explore a new practice with each volume and learn how to incorporate spells, rituals, blessings, and cleansings into your daily routine. These portable companions feature beautiful foil-detail covers and color-saturated interiors on a premium paper blend. A 5.75"" x 8.5"" Hardcover book with 160 pages.",AzureGreen,Metaphysical Supplies,"Journals - Hard Cover,Leather,Journals,All Books & Journals,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BBBLBOOS,498,shopify,7,deny,azuregreen,38.51,,TRUE,TRUE,,https://www.azuregreen.net/images/BBBLBOOS.jpg,1,"Book of shadows, Magick, Spells & Rituals (hc) by Anastasia Greywolf",FALSE,active
bbeltan-beltane,Beltane,"Light the fires of celebration with Beltane's invigorating energy. Beltane also known as May Day, as a time of fertility and growth. As the start of the summer season, Beltane is the perfect time to put plans into action. This guide to the history and modern celebrations of Beltane shows you how to perform rituals and work magic for protection, abundance, and more. A 4.9"" x 6.9"" paperback book with 240 pages.",AzureGreen,Metaphysical Supplies,"Paganism & Wicca,All Books & Journals,Ritual Tools,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BBELTAN,317,shopify,12,deny,azuregreen,29.44,,TRUE,TRUE,,https://www.azuregreen.net/images/BBELTAN.jpg,1,Beltane,FALSE,active
