Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Status
badvcan-advanced-candle-magick-by-raymond-buckland,Advanced Candle Magick - by Raymond Buckland,"Advanced Candle Magick by Ray Buckland The author�s first book on candle magick, Practical Candle burning Rituals is the classic text on candle magick. This book picks up where the previous left off, taking you to the next level in the art of candle magick.",AzureGreen,Metaphysical Supplies,"All Books & Journals,Cleansing, Protection & Candle Magic,Ritual Tools,Illuminations,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BADVCAN,408,shopify,8,deny,azuregreen,38.51,,TRUE,TRUE,,https://www.azuregreen.net/images/BADVCAN.JPG,1,Advanced Candle Magick - by Raymond Buckland,FALSE,active
barthooc-art-of-hoodoo-candle-magic-by-yronwode-strabo,Art of Hoodoo Candle Magic by Yronwode & Strabo,"Within these pages you will find a treasure-trove of accurate, traditional, and easy-to-follow instructions that teach you how to work with candles and lamps in hoodoo folk magic and Spiritual Church services. Learn about Down-home Candle Magic for the Private Practitioner. A paperback book with 96 pages",AzureGreen,Metaphysical Supplies,"Voodoo, Hoodoo & Santeria,All Books & Journals,Cleansing, Protection & Candle Magic,Ritual Tools,Illuminations,Esoteric Manuscripts,The Way to Resonance",FALSE,Title,Default Title,BARTHOOC,181,shopify,0,deny,azuregreen,33.89,,TRUE,TRUE,,https://www.azuregreen.net/images/BARTHOOC.jpg,1,Art of Hoodoo Candle Magic by Yronwode & Strabo,FALSE,active
bbigboocm-big-book-of-candle-magic-by-jacki-smith,Big Book of Candle Magic by Jacki Smith,"Author Jacki Smith, founder of Coventry Creations shares her magical secrets with readers, enabling them to empower themselves through successful spell casting. Her book explains the nature of magic spells and provides examples for a wide variety of purposes including love, money, healing, and protection, liberally punctuated with tips from ""Aunt Jacki,"" deriving from her many years of experience. A 7"" x 8.9"" paperback book with 320 pages.",AzureGreen,Metaphysical Supplies,"All Books & Journals,Cleansing, Protection & Candle Magic,Ritual Tools,Illuminations,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BBIGBOOCM,635,shopify,1,deny,azuregreen,65.62,,TRUE,TRUE,,https://www.azuregreen.net/images/BBIGBOOCM.jpg,1,Big Book of Candle Magic by Jacki Smith,FALSE,active
bboocanm-book-of-candle-magic-hc-by-madame-pamita,Book of Candle Magic (hc) by Madame Pamita,"Featuring authentic candle magic that anyone can do, this joyous book encourages you to dance in the moonlight and rekindle your spark of magic with a little wick, wax, and flame. Renowned practitioner Madame Pamita guides you every step of the way as you perform spells and gain the confidence to create your own. The Book of Candle Magic empowers you to manifest more happiness, love, prosperity, and fulfillment. Learn to make candles from scratch, do candle readings, start your personal grimoire, add some pizzazz to your rituals, and much more. It's time to reclaim your birthright of using fire to reach your magical goals, this irresistible book shows you how. A 5 1/2"" x 7 3/4"" Hardcover book with 336 pages.",AzureGreen,Metaphysical Supplies,"All Books & Journals,Cleansing, Protection & Candle Magic,Ritual Tools,Illuminations,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BBOOCANM,589,shopify,8,deny,azuregreen,42.95,,TRUE,TRUE,,https://www.azuregreen.net/images/BBOOCANM.jpg,1,Book of Candle Magic (hc) by Madame Pamita,FALSE,active
bcanmagb-candle-magic-for-beginners-by-richard-webster,Candle Magic for Beginners by Richard Webster,"Candle Magic for Beginners by Richard Webster: From blowing out the candles on a birthday cake and making a wish to manifesting your desires and making your dreams come true, this book helps to explore the art of candle magic for beginners.",AzureGreen,Metaphysical Supplies,"Books for Beginners,All Books & Journals,Cleansing, Protection & Candle Magic,Ritual Tools,Illuminations,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BCANMAGB,317,shopify,14,deny,azuregreen,38.51,,TRUE,TRUE,,https://www.azuregreen.net/images/BCANMAGB.JPG,1,Candle Magic for Beginners by Richard Webster,FALSE,active
bcanmagbd-candle-magic-for-beginners-by-mystic-dylan,Candle Magic for Beginners by Mystic Dylan,"Discover the different types of candles and their ideal uses, and find out how shape, size, color, and burn time can influence your results with candle magic. Learn how to create a sacred altar, prepare your candle for spellwork, and focus your intentions. Select a spell like Mental Health Magic, Kemetic Flame of Protection, Lucky Cat Candle, Aphrodite's Beauty Ritual, or Druid's Circle of Serenity, and get started!. A 6 X 9 paperback book with 168 pages",AzureGreen,Metaphysical Supplies,"Books for Beginners,All Books & Journals,All Candles & Candle Accessories,Cleansing, Protection & Candle Magic,Ritual Tools,Illuminations,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BCANMAGBD,362,shopify,12,deny,azuregreen,33.98,,TRUE,TRUE,,https://www.azuregreen.net/images/BCANMAGBD.jpg,1,Candle Magic for Beginners by Mystic Dylan,FALSE,active
bmagcan-magic-candle-facts-fundamentals-by-charmaine-dey,"Magic Candle, Facts & Fundamentals by Charmaine Dey","Magic Candle by Charmaine Dey explains to you the methods, the science, and the magic of candle burning rituals and spells in a way that allows you to succeed with candle burning.",AzureGreen,Metaphysical Supplies,"All Books & Journals,Cleansing, Protection & Candle Magic,Ritual Tools,Illuminations,Esoteric Manuscripts,The Way to Resonance",FALSE,Title,Default Title,BMAGCAN,136,shopify,0,deny,azuregreen,22.55,,TRUE,TRUE,,https://www.azuregreen.net/images/BMAGCAN.JPG,1,"Magic Candle, Facts & Fundamentals by Charmaine Dey",FALSE,active
bmagritp-magical-rituals-for-protection-by-donna-rose,Magical Rituals for Protection by Donna Rose,"Learn to defend yourself with simple rituals, with Magical Rituals for Protection from Donna Rose. With topics ranging from simple cleansing and purification to overcoming your enemies, this book of rituals is a great resource.",AzureGreen,Metaphysical Supplies,"Spellcraft, Witchcraft & Magic,All Books & Journals,Protection & Cleansing,Cleansing, Protection & Candle Magic,Ritual Tools,Illuminations,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BMAGRITP,90,shopify,25,deny,azuregreen,22.55,,TRUE,TRUE,,https://www.azuregreen.net/images/BMAGRITP.jpg,1,Magical Rituals for Protection by Donna Rose,FALSE,active
bmasboo-master-book-of-candle-burning-by-henri-gamac,Master Book of Candle Burning  by Henri Gamac,"The Master Book of Candle Burning outlines the practices used and taught by mediums, spiritual advisors, evangelists, and others who use candles and psalms to help in money drawing rituals, love spells, and other such spells.",AzureGreen,Metaphysical Supplies,"All Books & Journals,Cleansing, Protection & Candle Magic,Ritual Tools,Illuminations,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BMASBOO,181,shopify,12,deny,azuregreen,29.35,,TRUE,TRUE,,https://www.azuregreen.net/images/BMASBOO.JPG,1,Master Book of Candle Burning  by Henri Gamac,FALSE,active
bpracan-practical-candleburning-rituals-by-raymond-buckland,Practical Candleburning Rituals by Raymond Buckland,Raymond Buckland helps create a clear and concise guide to candle magick for the modern Pagan with Practical Candleburning Rituals. Within you will find spells and rituals for every purpose.,AzureGreen,Metaphysical Supplies,"All Books & Journals,Cleansing, Protection & Candle Magic,Ritual Tools,Illuminations,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BPRACAN,272,shopify,9,deny,azuregreen,38.51,,TRUE,TRUE,,https://www.azuregreen.net/images/BPRACAN.JPG,1,Practical Candleburning Rituals by Raymond Buckland,FALSE,active
bpraprom-practical-protection-magick-by-ellen-dugan,Practical Protection Magick by Ellen Dugan,"Practical Protection Magick by Ellen Dugan is a helpful handbook chock-full of protection witchery and psychic self-defense techniques you can use to keep yourself, and your home, secure.",AzureGreen,Metaphysical Supplies,"All Books & Journals,Protection & Cleansing,Cleansing, Protection & Candle Magic,Ritual Tools,Illuminations,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BPRAPROM,362,shopify,18,deny,azuregreen,43.04,,TRUE,TRUE,,https://www.azuregreen.net/images/BPRAPROM.jpg,1,Practical Protection Magick by Ellen Dugan,FALSE,active
bunhjin-unhexing-and-jinx-removing-by-donna-rose,Unhexing and Jinx Removing by Donna Rose,"Cast out negativity, evil thoughts, evil intentions, evil spirits and other such negative attention with the spells and rituals provided within Donna Rose's Unhexing and Jinx Removing.",AzureGreen,Metaphysical Supplies,"All Books & Journals,Cleansing, Protection & Candle Magic,Ritual Tools,Illuminations,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BUNHJIN,90,shopify,11,deny,azuregreen,20.29,,TRUE,TRUE,,https://www.azuregreen.net/images/BUNHJIN.JPG,1,Unhexing and Jinx Removing by Donna Rose,FALSE,active
c4a-1-2-assorted-chime-candle-20-pack,"1/2"" Assorted Chime Candle 20 pack","Introducing our 4"" spell chime candle, the perfect addition to your spiritual rituals and spellcasting. With their compact size, they are ideal for focused intentions and can be easily incorporated into any spellwork or meditation practice. Light up your intentions with our 4"" spell chime candles and let the power of candle magic guide you on your spiritual journey. A box of 20 multi-colored chime candles. Comes with 2 of each color for all of your uses. 1/2""  dia. 4"" long assorted chimes in yellow, white, light blue, pink, orange, red, green, purple, black, and dark blue.",AzureGreen,Metaphysical Supplies,"Chime Candles,Best Sellers,All Candles & Candle Accessories,Illuminations,The Way to Resonance",FALSE,Title,Default Title,C4A,317,shopify,0,deny,azuregreen,27.09,,TRUE,TRUE,,https://www.azuregreen.net/images/C4AAA.jpg,1,"1/2"" Assorted Chime Candle 20 pack",FALSE,active
c4bk-1-2-black-chime-candle-20-pack,"1/2"" Black Chime Candle 20 pack","Introducing our 4"" spell chime candle, the perfect addition to your spiritual rituals and spellcasting. With their compact size, they are ideal for focused intentions and can be easily incorporated into any spellwork or meditation practice. Light up your intentions with our 4"" spell chime candles and let the power of candle magic guide you on your spiritual journey. Black 4"" x 1/2""",AzureGreen,Metaphysical Supplies,"Chime Candles,Best Sellers,Protection & Cleansing,All Candles & Candle Accessories,Illuminations,The Way to Resonance",TRUE,Title,Default Title,C4BK,317,shopify,51,deny,azuregreen,27.09,,TRUE,TRUE,,https://www.azuregreen.net/images/C4BK_T.jpg,1,"1/2"" Black Chime Candle 20 pack",FALSE,active
