Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Status
apew1-50-lb-pewter-box-varies-48-52,50 Lb Pewter ( box varies 48- 52#),pewter blanks for jewelry making.,AzureGreen,Metaphysical Supplies,"Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,APEW1,453,shopify,269.82,deny,azuregreen,36.27,,TRUE,TRUE,,https://www.azuregreen.net/images/APEW1.jpg,1,50 Lb Pewter ( box varies 48- 52#),FALSE,active
dcrits-ritual-calligraphic-set-by-lo-scarabeo,Ritual calligraphic set by Lo Scarabeo,"A stunning writing set for formal writing, calligraphy or spell & ritual work. Comes with a feather writing quill, six interchangeable tips, ink pot, sealing wax candle with pure cotton wick and a hand seal. The hand seal features an interwoven pentacle and crescent moon.",AzureGreen,Metaphysical Supplies,"Feathers, Writing Supplies & Parchment Paper,Stationary, Paper & Writing Supplies,Parchment Paper & Stationary,Creativity & Beads,Parchment Paper, Ink & Supplies,Writing Kits & Sealing Wax,All Kits,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,DCRITS,544,shopify,9,deny,azuregreen,86.02,,TRUE,TRUE,,https://www.azuregreen.net/images/DCRITS.jpg,1,Ritual calligraphic set by Lo Scarabeo,FALSE,active
ebahh-ahh-i-see-the-screw-up-fairy-has-visited-us-again-bumper-sticker,AHH... I See The Screw-up Fairy Has Visited Us Again bumper sticker,AHH... I See The Screw-up Fairy Has Visited Us Again,AzureGreen,Metaphysical Supplies,"Bumper Stickers,All Bumper Stickers, Posters & Stickers,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,EBAHH,8,shopify,69,deny,azuregreen,2.83,,TRUE,TRUE,,https://www.azuregreen.net/images/EBAHH.jpg,1,AHH... I See The Screw-up Fairy Has Visited Us Again bumper sticker,FALSE,active
ebamec-america-can-do-better-than-capitalism-bumper-sticker,America Can Do Better Than Capitalism bumper sticker,"America Can Do Better Than Capitalism bumper sticker - 11"" by 3""",AzureGreen,Metaphysical Supplies,"Bumper Stickers,All Bumper Stickers, Posters & Stickers,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,EBAMEC,8,shopify,167,deny,azuregreen,2.83,,TRUE,TRUE,,https://www.azuregreen.net/images/ebamec.jpg,1,America Can Do Better Than Capitalism bumper sticker,FALSE,active
ebbaco-back-off-i-m-a-goddess-bumper-sticker,"Back Off, I'm A Goddess bumper sticker","Back Off, I'm A Goddess",AzureGreen,Metaphysical Supplies,"Bumper Stickers,All Bumper Stickers, Posters & Stickers,Gods & Goddesses,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,EBBACO,8,shopify,383,deny,azuregreen,2.83,,TRUE,TRUE,,https://www.azuregreen.net/images/EBBACO.JPG,1,"Back Off, I'm A Goddess bumper sticker",FALSE,active
ebban-banish-hate-pentagram-invoke-love-bumper-sticker,Banish Hate (Pentagram) Invoke Love bumper sticker,EBBAN: Banish Hate Invoke Love (with Pentagram design),AzureGreen,Metaphysical Supplies,"Bumper Stickers,All Bumper Stickers, Posters & Stickers,Pentagrams & Pentacles,Love & Relationships,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,EBBAN,8,shopify,501,deny,azuregreen,2.83,,TRUE,TRUE,,https://www.azuregreen.net/images/EBBAN.JPG,1,Banish Hate (Pentagram) Invoke Love bumper sticker,FALSE,active
ebbew-be-witched-bumper-sticker,Be Witched bumper sticker,Be Witched (with star design),AzureGreen,Metaphysical Supplies,"Bumper Stickers,All Bumper Stickers, Posters & Stickers,Sun & Stars,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,EBBEW,8,shopify,300,deny,azuregreen,2.83,,TRUE,TRUE,,https://www.azuregreen.net/images/EBBEW.JPG,1,Be Witched bumper sticker,FALSE,active
ebble-blessed-be-bumper-sticker,Blessed Be bumper sticker,A violet bumper sticker with Blessed Be written in white.,AzureGreen,Metaphysical Supplies,"Bumper Stickers,All Bumper Stickers, Posters & Stickers,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,EBBLE,8,shopify,444,deny,azuregreen,2.83,,TRUE,TRUE,,https://www.azuregreen.net/images/EBBLE.JPG,1,Blessed Be bumper sticker,FALSE,active
ebbor-born-again-pagan-bumper-sticker,Born Again Pagan bumper sticker,Born Again Pagan,AzureGreen,Metaphysical Supplies,"Bumper Stickers,All Bumper Stickers, Posters & Stickers,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,EBBOR,8,shopify,324,deny,azuregreen,2.83,,TRUE,TRUE,,https://www.azuregreen.net/images/EBBOR.JPG,1,Born Again Pagan bumper sticker,FALSE,active
ebbuc-buckle-up-it-makes-it-harder-for-the-aliens-bumper-sticker,Buckle Up! It Makes it Harder for the Aliens... bumper sticker,Buckle Up! It Makes it Harder for the Aliens to suck you out of your car.,AzureGreen,Metaphysical Supplies,"Bumper Stickers,All Bumper Stickers, Posters & Stickers,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,EBBUC,8,shopify,17,deny,azuregreen,2.83,,TRUE,TRUE,,https://www.azuregreen.net/images/EBBUC.jpg,1,Buckle Up! It Makes it Harder for the Aliens... bumper sticker,FALSE,active
ebcan-i-can-only-please-one-person-per-day-today-is-not,I Can Only Please One Person Per Day.today Is Not,I can only please ONE person per day TODAY IS NOT YOUR DAY...Tomorrow doesn't look good either,AzureGreen,Metaphysical Supplies,"Bumper Stickers,All Bumper Stickers, Posters & Stickers,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,EBCAN,8,shopify,632,deny,azuregreen,2.83,,TRUE,TRUE,,https://www.azuregreen.net/images/EBCAN.JPG,1,I Can Only Please One Person Per Day.today Is Not,FALSE,active
ebcau-caution-never-drive-faster-than-your-angel-can-fly-bumper-sticker,"Caution, Never Drive Faster Than Your Angel Can Fly bumper sticker",Caution: Never Drive Faster Than Your Angel Can Fly,AzureGreen,Metaphysical Supplies,"Bumper Stickers,All Bumper Stickers, Posters & Stickers,Angels,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,EBCAU,8,shopify,75,deny,azuregreen,2.83,,TRUE,TRUE,,https://www.azuregreen.net/images/EBCAU.JPG,1,"Caution, Never Drive Faster Than Your Angel Can Fly bumper sticker",FALSE,active
ebcaui-caution-i-brake-for-elves-bumper-sticker,Caution! I brake for Elves... bumper sticker,"Caution! I brake for Elves Fairies, Gnomes, Leprechauns, Unicorns, Dragons & other invisible creatures that only I can see (with unicorn, fairies, elf &  turtle design)",AzureGreen,Metaphysical Supplies,"Bumper Stickers,All Bumper Stickers, Posters & Stickers,Mystic Curiosities,The Way to Resonance",FALSE,Title,Default Title,EBCAUI,8,shopify,0,deny,azuregreen,2.83,,TRUE,TRUE,,https://www.azuregreen.net/images/EBCAUI.JPG,1,Caution! I brake for Elves... bumper sticker,FALSE,active
ebcelw-celtic-warrior-bumper-sticker,Celtic Warrior bumper sticker,Celtic Warrior  (with Celtic knot & border design),AzureGreen,Metaphysical Supplies,"Bumper Stickers,All Bumper Stickers, Posters & Stickers,Viking & Celtic Products,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,EBCELW,8,shopify,3519,deny,azuregreen,2.83,,TRUE,TRUE,,https://www.azuregreen.net/images/EBCELW.JPG,1,Celtic Warrior bumper sticker,FALSE,active
ebcha-chaos-panic-disorder-my-work-here-is-done-bumper-sticker,"Chaos, Panic & Disorder. My Work Here Is Done bumper sticker","Chaos, Panic & Disorder ...my work here is done.",AzureGreen,Metaphysical Supplies,"Bumper Stickers,All Bumper Stickers, Posters & Stickers,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,EBCHA,8,shopify,283,deny,azuregreen,2.83,,TRUE,TRUE,,https://www.azuregreen.net/images/EBCHAAA.jpg,1,"Chaos, Panic & Disorder. My Work Here Is Done bumper sticker",FALSE,active
ebcle-clergy-with-pentacle-bumper-sticker,Clergy (with Pentacle) bumper sticker,Clergy (with Pentacle),AzureGreen,Metaphysical Supplies,"Bumper Stickers,All Bumper Stickers, Posters & Stickers,Pentagrams & Pentacles,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,EBCLE,8,shopify,39,deny,azuregreen,2.83,,TRUE,TRUE,,https://www.azuregreen.net/images/EBCLE.JPG,1,Clergy (with Pentacle) bumper sticker,FALSE,active
ebcoesf-coexist-scifi-bumper-sticker,Coexist SciFi bumper sticker,Coexist SciFi,AzureGreen,Metaphysical Supplies,"Bumper Stickers,All Bumper Stickers, Posters & Stickers,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,EBCOESF,8,shopify,403,deny,azuregreen,2.83,,TRUE,TRUE,,https://www.azuregreen.net/images/EBCOESF.jpg,1,Coexist SciFi bumper sticker,FALSE,active
ebcoex-coexist-bumper-sticker,Coexist bumper sticker,"Using the symbols for a wide assortment of world faiths, this bumper sticker displays one word only: ""Coexist.""",AzureGreen,Metaphysical Supplies,"Bumper Stickers,Best Sellers,All Bumper Stickers, Posters & Stickers,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,EBCOEX,8,shopify,583,deny,azuregreen,2.83,,TRUE,TRUE,,https://www.azuregreen.net/images/EBCOEX.jpg,1,Coexist bumper sticker,FALSE,active
ebcomd-come-to-the-darkside-we-have-cookies-bumper-sticker,Come to the Darkside We Have Cookies bumper sticker,"Come to the Darkside We Have Cookies bumper sticker ,",AzureGreen,Metaphysical Supplies,"Bumper Stickers,All Bumper Stickers, Posters & Stickers,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,EBCOMD,8,shopify,502,deny,azuregreen,2.83,,TRUE,TRUE,,https://www.azuregreen.net/images/EBCOMD.JPG,1,Come to the Darkside We Have Cookies bumper sticker,FALSE,active
ebdmm-don-t-make-me-get-out-my-flying-monkeys-bumper-sticker,Don't Make Me Get Out My Flying Monkeys bumper sticker,Don't Make Me Get Out My Flying Monkeys (with 2 monkeys). Black Text on White back.,AzureGreen,Metaphysical Supplies,"Bumper Stickers,All Bumper Stickers, Posters & Stickers,Mystic Curiosities,The Way to Resonance",TRUE,Title,Default Title,EBDMM,8,shopify,305,deny,azuregreen,2.83,,TRUE,TRUE,,https://www.azuregreen.net/images/EBDMM.jpg,1,Don't Make Me Get Out My Flying Monkeys bumper sticker,FALSE,active
