Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Status
a4502a-angel-pocket-stone,Angel pocket stone,"Embossed with an angel, this pocket stone functions as a powerful focus during your ritual magic and meditation. Pewter. 1"" x 5/8"" Made in USA",AzureGreen,Metaphysical Supplies,"Amulets & Talismans,Angels,Sacred Adornments,The Way to Resonance",TRUE,Title,Default Title,A4502A,13,shopify,141,deny,azuregreen,8.95,,TRUE,TRUE,,https://www.azuregreen.net/images/A4502At.jpg,1,Angel pocket stone,FALSE,active
a4502b-buddha-pocket-stone,Buddha pocket stone,"This pewter pocket stone bears the image of the Buddha. This is intended to remind you to seek inner peace and the middle way in all things. Pewter. 3/4"".  Made in USA",AzureGreen,Metaphysical Supplies,"Amulets & Talismans,Buddhist Figurines & Decor,Sacred Adornments,The Way to Resonance",TRUE,Title,Default Title,A4502B,13,shopify,326,deny,azuregreen,8.95,,TRUE,TRUE,,https://www.azuregreen.net/images/A4502B.JPG,1,Buddha pocket stone,FALSE,active
a4502c-clover-pocket-stone,Clover pocket stone,"A favorite token of good luck, the four-leaf clover, has been engraved in this pocket stone. Carry it with you for good luck. Pewter. 5/8"" x 1"" Made in USA",AzureGreen,Metaphysical Supplies,"Best Sellers,Amulets & Talismans,Sacred Adornments,The Way to Resonance",FALSE,Title,Default Title,A4502C,13,shopify,0,deny,azuregreen,8.95,,TRUE,TRUE,,https://www.azuregreen.net/images/A4502C.jpg,1,Clover pocket stone,FALSE,active
a4502cr-cross-pocket-stone,Cross pocket stone,"The cross-pocket stone features the cut out of a cross in a pewter stone. Pewter. 1"" x 5/8"" Made in USA",AzureGreen,Metaphysical Supplies,"Amulets & Talismans,Protection & Cleansing,Sacred Adornments,The Way to Resonance",TRUE,Title,Default Title,A4502CR,13,shopify,141,deny,azuregreen,8.95,,TRUE,TRUE,,https://www.azuregreen.net/images/A4502CR.jpg,1,Cross pocket stone,FALSE,active
a4502go-goddess-pocket-stone,Goddess pocket stone,"The Goddess Pocket stone is a great focus to help you stay in tune with the divine feminine or help guide you through your meditations.  Pewter. 1"" x 5/8"" Made in USA",AzureGreen,Metaphysical Supplies,"Amulets & Talismans,Gods & Goddesses,Sacred Adornments,The Way to Resonance",TRUE,Title,Default Title,A4502GO,13,shopify,96,deny,azuregreen,8.95,,TRUE,TRUE,,https://www.azuregreen.net/images/A4502GO.jpg,1,Goddess pocket stone,FALSE,active
a4502h-heart-pocket-stone,Heart pocket stone,"A small, heart shaped, pewter pocket stone decorated with tiny swirls.  Pewter. 1"" x 5/8"" Made in USA",AzureGreen,Metaphysical Supplies,"Best Sellers,Amulets & Talismans,Sacred Adornments,The Way to Resonance",TRUE,Title,Default Title,A4502H,13,shopify,77,deny,azuregreen,8.95,,TRUE,TRUE,,https://www.azuregreen.net/images/A4502H.jpg,1,Heart pocket stone,FALSE,active
a4502ha-hamsa-pocket-stone,Hamsa pocket stone,"The Hamsa Pocket Stone portrays the Hamsa Hand; an ancient symbol used most frequently to ward off the evil eye. Pewter. 1"" x 5/8"" Made in USA",AzureGreen,Metaphysical Supplies,"Amulets & Talismans,Evil Eye Products,Sacred Adornments,The Way to Resonance",TRUE,Title,Default Title,A4502HA,13,shopify,79,deny,azuregreen,8.95,,TRUE,TRUE,,https://www.azuregreen.net/images/A4502HA.jpg,1,Hamsa pocket stone,FALSE,active
a4502om-om-pocket-stone,Om pocket stone,"This pocket stone inscribed with the Om symbol is a potent aid, helping you to find a connection with the divine when you need it most.  Pewter. 1"" x 5/8"" Made in USA",AzureGreen,Metaphysical Supplies,"Amulets & Talismans,Sacred Adornments,The Way to Resonance",TRUE,Title,Default Title,A4502OM,13,shopify,169,deny,azuregreen,8.95,,TRUE,TRUE,,https://www.azuregreen.net/images/A4502OM.JPG,1,Om pocket stone,FALSE,active
a4502p-peace-pocket-stone,Peace pocket stone,"With a Peace Sign marking its face, this pewter stone is a great meditation or prayer aid when seeking calm and serenity. Pewter. 1"" x 5/8"" Made in USA",AzureGreen,Metaphysical Supplies,"Amulets & Talismans,Sacred Adornments,The Way to Resonance",TRUE,Title,Default Title,A4502P,13,shopify,22,deny,azuregreen,8.95,,TRUE,TRUE,,https://www.azuregreen.net/images/A4502P.JPG,1,Peace pocket stone,FALSE,active
a4502st-pentagram-pocket-stone,Pentagram pocket stone,"Embossed with a pentagram, this pocket stone functions as a powerful focus during your ritual magic and meditation. Pewter. 1"" x 5/8"" Made in USA",AzureGreen,Metaphysical Supplies,"Best Sellers,Amulets & Talismans,Pentagrams & Pentacles,Sacred Adornments,The Way to Resonance",TRUE,Title,Default Title,A4502ST,13,shopify,121,deny,azuregreen,8.95,,TRUE,TRUE,,https://www.azuregreen.net/images/A4502ST.JPG,1,Pentagram pocket stone,FALSE,active
a4502wh-witch-s-hat-pocket-stone,Witch's Hat pocket stone,"Displaying the classic Witch's Hat, this pocket stone can function as a powerful focus to aid you in turning negative energy into positive.  Pewter. 1"" x 5/8"" Made in USA",AzureGreen,Metaphysical Supplies,"Amulets & Talismans,Sacred Adornments,The Way to Resonance",TRUE,Title,Default Title,A4502WH,13,shopify,137,deny,azuregreen,8.95,,TRUE,TRUE,,https://www.azuregreen.net/images/A4502WH.JPG,1,Witch's Hat pocket stone,FALSE,active
