"NUMBER","INETSDESC","INETSHORTD","UNITS","UNITWEIGHT","PRICE1","DELDATE","DISCONT","INETIMAGE","CANTSELL"
"A4502A              ","Angel pocket stone                                                                                                      ","Embossed with an angel, this pocket stone functions as a powerful focus during your ritual magic and meditation. Pewter. 1"" x 5/8"" Made in USA","141","0.03","3.95",,0,"A4502At.jpg                          ",0
"A4502B              ","Buddha pocket stone                                                                                                     ","This pewter pocket stone bears the image of the Buddha. This is intended to remind you to seek inner peace and the middle way in all things. Pewter. 3/4"".  Made in USA","326","0.03","3.95",,0,"A4502B.JPG                               ",0
"A4502C              ","Clover pocket stone                                                                                                     ","A favorite token of good luck, the four-leaf clover, has been engraved in this pocket stone. Carry it with you for good luck. Pewter. 5/8"" x 1"" Made in USA","0","0.03","3.95",3/13/2026 0:00:00,0,"A4502C.jpg                               ",0
"A4502CR             ","Cross pocket stone                                                                                                      ","The cross-pocket stone features the cut out of a cross in a pewter stone. Pewter. 1"" x 5/8"" Made in USA","141","0.03","3.95",,0,"A4502CR.jpg                              ",0
"A4502GO             ","Goddess pocket stone                                                                                                    ","The Goddess Pocket stone is a great focus to help you stay in tune with the divine feminine or help guide you through your meditations.  Pewter. 1"" x 5/8"" Made in USA","96","0.03","3.95",,0,"A4502GO.jpg                              ",0
"A4502H              ","Heart pocket stone                                                                                                      ","A small, heart shaped, pewter pocket stone decorated with tiny swirls.  Pewter. 1"" x 5/8"" Made in USA","77","0.03","3.95",,0,"A4502H.jpg                               ",0
"A4502HA             ","Hamsa pocket stone                                                                                                      ","The Hamsa Pocket Stone portrays the Hamsa Hand; an ancient symbol used most frequently to ward off the evil eye. Pewter. 1"" x 5/8"" Made in USA","79","0.03","3.95",,0,"A4502HA.jpg                              ",0
"A4502OM             ","Om pocket stone                                                                                                         ","This pocket stone inscribed with the Om symbol is a potent aid, helping you to find a connection with the divine when you need it most.  Pewter. 1"" x 5/8"" Made in USA","169","0.03","3.95",,0,"A4502OM.JPG                              ",0
"A4502P              ","Peace pocket stone                                                                                                      ","With a Peace Sign marking its face, this pewter stone is a great meditation or prayer aid when seeking calm and serenity. Pewter. 1"" x 5/8"" Made in USA","22","0.03","3.95",,0,"A4502P.JPG                               ",0
"A4502ST             ","Pentagram pocket stone                                                                                                  ","Embossed with a pentagram, this pocket stone functions as a powerful focus during your ritual magic and meditation. Pewter. 1"" x 5/8"" Made in USA","121","0.03","3.95",,0,"A4502ST.JPG                              ",0
"A4502WH             ","Witch's Hat pocket stone                                                                                                ","Displaying the classic Witch's Hat, this pocket stone can function as a powerful focus to aid you in turning negative energy into positive.  Pewter. 1"" x 5/8"" Made in USA","137","0.03","3.95",,0,"A4502WH.JPG                              ",0
"A4502WI             ","Witch on Broom pocket stone                                                                                             ","Witch on a broom is a classic figure. Use as a talisman, worry stone, or in a mojo pouch. Solid pewter Heavy casting. 1"" Made in USA.","172","0.03","3.95",,0,"A4502WI.jpg                              ",0
"A4506RA             ","Raven mystical stone                                                                                                    ","Unlock secrets, wisdom, and wellness through the aid of the Raven with the Raven Mystical stone talisman.  Pewter. 1 1/4"" x 7/8"" Made in USA","7","0.03","7.95",,0,"A4506RA.jpg                              ",0
"A7MET               ","7 Metals amulet                                                                                                         ","Using alchemy this amulet uses lead, tin, iron, gold, copper, mercury and silver fused onto a base of pyrite. Tapping into the power of alchemy and astrology multiplied by 7, bringing you luck and prosperity. No cord. 1/2""","0","0.02","3.95",1/1/2027 0:00:00,0,"A7MET.JPG                                ",0
"AACHG               ","Achievements of Goals amulet                                                                                            ","Get ready to conquer your dreams with our Achievements of Goals amulet! This stunning piece comes with a silver-toned chain and a 1"" pendant, making it the perfect accessory to showcase your determination. The 22"" chain ensures a comfortable fit, while the approximate sizes add a touch of uniqueness. Let this amulet be a constant reminder of your aspirations and a symbol of your unstoppable drive.","6","0.04","17.95",,0,"AACHGAA.jpg                              ",0
