Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Status
afoog-fools-gold-charm,Fools Gold Charm,"Carry this piece of Fool's Gold in a gris gris or mojo bag or even just in your pocket or purse to help attract money and prosperity into your life. Pyrite. 3/4"" - 1""",AzureGreen,Metaphysical Supplies,"Stone Crafts & Gemstone Trees,Amulets & Talismans,Abundance, Prosperity, & Money,Earth Relics,Sacred Adornments,The Way to Resonance",TRUE,Title,Default Title,AFOOG,22,shopify,59,deny,azuregreen,6.69,,TRUE,TRUE,,https://www.azuregreen.net/images/AFOOG.JPG,1,Fools Gold Charm,FALSE,active
b369lawa-369-laws-of-attraction,369 Laws of Attraction,"The love, success, and self-image you desire is already yours. All you have to do is manifest it. The law of attraction is based on the belief that positive thinking creates energy, attracting that which you seek. The 369 method of manifestation draws your dreams toward you by channeling your energy into intentions that you repeat three times in the morning, six times at mid-day, and nine times in the evening. This inspiring workbook is the tool you need to stay on track and ensure your positive energy is at its peak. By sticking with each step in the process, you'll arrive at your destiny. A 6.1"" x 8.4"" paperback book with 192 pages.",AzureGreen,Metaphysical Supplies,"Mind, Body, Soul & New Age,Stone & Crystal Chip & Nugget Bracelets,All Books & Journals,Love & Relationships,Earth Relics,Esoteric Manuscripts,The Way to Resonance",FALSE,Title,Default Title,B369LAWA,453,shopify,0,deny,azuregreen,38.51,,TRUE,TRUE,,https://www.azuregreen.net/images/B369LAWA.jpg,1,369 Laws of Attraction,FALSE,active
bboocry-book-of-crystal-spells-by-ember-grant,Book of Crystal Spells by Ember Grant,"Take your magical work with crystals to a new level with this hands-on guide packed with spells, rituals, and methods for using stones in creative ways. Wiccan author Ember Grant explores crystal magic in depth in this practical manual. Learn about the types of crystals, rocks, and gemstones, and get tips on purchasing, cleansing, charging, and storing them. Explore methods of magic such as crystal grids and numerology, quartz points and clusters, metals and alchemy, glass and sand magic, magical jewelry, elixirs, personal power stones, meditation, and divination. Find dozens of spells that you can use for home and garden, health, love, problem solving, dreams, astral travel, and much more. Practice the exercises to expand your knowledge, and copy the grids to create your own layouts. Extensive appendices of correspondences and a glossary make this guide useful for beginners as well.",AzureGreen,Metaphysical Supplies,"Spellcraft, Witchcraft & Magic,Crystals, Stones & Gemstones,Crystal Books, Grids & Mats,All Books & Journals,Ritual Tools,Earth Relics,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BBOOCRY,408,shopify,4,deny,azuregreen,43.04,,TRUE,TRUE,,https://www.azuregreen.net/images/BBOOCRY.jpg,1,Book of Crystal Spells by Ember Grant,FALSE,active
bboocryh-book-of-crystal-healing-hc-by-emily-anderson,Book of Crystal Healing (hc) by Emily Anderson,"From green quartz for stress reduction, to tanzanite to improve your energy, crystals can be used in countless ways to boost your health and wellbeing. This practical guide teachers you how to use crystals in daily life. From mystical properties to shape variations and crystal grids, this is an in-depth look into this fascinating subject. With section of physical and emotional healing for yourself and other, you can master this powerful practice. Includes: � Using crystal pendulums in healing � How to make elixirs with suitable crystals � Which crystal to choose for your zodiac sign � An A-Z directory of 200 crystals.",AzureGreen,Metaphysical Supplies,"Mind, Body, Soul & New Age,Crystals, Stones & Gemstones,Crystal Books, Grids & Mats,All Books & Journals,Earth Relics,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BBOOCRYH,997,shopify,6,deny,azuregreen,56.64,,TRUE,TRUE,,https://www.azuregreen.net/images/BBOOCRYH.jpg,1,Book of Crystal Healing (hc) by Emily Anderson,FALSE,active
bboospe-book-of-spells-by-marie-bruce,Book of Spells by Marie Bruce,"The Book of Spells is filled with spells and rituals to enhance all aspects of life. This beautiful guide will empower you with magical instruction. These traditional and modern spells will clearly show you how to bring more magic into your life. From attracting love to finding success in business and careers this book will use modern and ancient spellcrafting to help manifest positive change. This essential reference is sure to become a handy book of shadows for every blossoming witch. A 6.89"" x 8.46"" paperback book with 128 pages.",AzureGreen,Metaphysical Supplies,"Spellcraft, Witchcraft & Magic,Crystal Books, Grids & Mats,All Books & Journals,Ritual Tools,Earth Relics,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BBOOSPE,317,shopify,4,deny,azuregreen,29.44,,TRUE,TRUE,,https://www.azuregreen.net/images/BBOOSPE.jpg,1,Book of Spells by Marie Bruce,FALSE,active
bccov-c-is-for-coven-hc-by-andrea-stein,C is for Coven (hc) by Andrea Stein,"C is for Coven is a reinterpretation of a classic alphabet book, matching each letter of the ABCs with a rhyming phrase that teaches kids about witchcraft. Instead of A is for Apple and D is for Dog, A is for Altar and D is for Drawing Down the Moon. This bewitching and adorable board book will make learning the ABCs fun, magical, and memorable for the whole family. Buyers will receive a premium quality board book with a dual purpose teaching the alphabet, and presenting concepts from modern witchcraft in an introductory, kid friendly way. Hard cover book with 28 pages for ages 1-4",AzureGreen,Metaphysical Supplies,"Kids Books, Mythical Creatures, Dragons & Fairies,Crystal Books, Grids & Mats,All Books & Journals,Earth Relics,Esoteric Manuscripts,The Way to Resonance",FALSE,Title,Default Title,BCCOV,317,shopify,0,deny,azuregreen,29.44,,TRUE,TRUE,,https://www.azuregreen.net/images/BCCOV.jpg,1,C is for Coven (hc) by Andrea Stein,FALSE,active
bcrybeg-crystals-for-beginners-by-karen-frazier,Crystals for Beginners by Karen Frazier,"Discover how crystals and healing stones can help you fight stress, cope with anxiety, and more as you explore the basics of crystal healing using this veritable crystal bible. With simple guidance, you'll learn to curate your own crystal collection, and get detailed crystal profiles that will help you choose the crystal that works best for you. Unearth the power of crystals with the ultimate book on crystals and stones and their meanings. A 5.83 x 8.27 paperback book with 208 pages",AzureGreen,Metaphysical Supplies,"Crystals, Stones & Gemstones,Crystal Books, Grids & Mats,Books for Beginners,All Books & Journals,Earth Relics,Esoteric Manuscripts,The Way to Resonance",FALSE,Title,Default Title,BCRYBEG,498,shopify,0,deny,azuregreen,33.98,,TRUE,TRUE,,https://www.azuregreen.net/images/BCRYBEG.JPG,1,Crystals for Beginners by Karen Frazier,FALSE,active
bcrycom-crystal-companion-by-rachel-hancock,Crystal Companion by Rachel Hancock,"The Crystal Companion is the beginner�s guide to understanding and working with the stones. You will learn the science as well as the art of crystals, including: How to use crystals with other practices such as feng shui, meditation, and reiki - Crystal correspondences such as color and which stones should and should not be used together - How to use crystals in ritual - How to use intention to work and manifest with your crystals - Crystal lattice systems MOH hardness scales - High and low vibration crystals - Energetic concepts such as entrainment. Featuring gorgeous photography and breathtaking images of the stones, The Crystal Companion is destined to be your go-to crystal resource. A 4.9"" x 7.7"" Hardcover book with 176 pages",AzureGreen,Metaphysical Supplies,"Crystals, Stones & Gemstones,Crystal Books, Grids & Mats,Books for Beginners,All Books & Journals,Earth Relics,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BCRYCOM,453,shopify,11,deny,azuregreen,45.31,,TRUE,TRUE,,https://www.azuregreen.net/images/BCRYCOM.jpg,1,Crystal Companion by Rachel Hancock,FALSE,active
bcrydir-crystal-directory-100-crystals-for-positive-manifestation-by-isabella-drayson,"Crystal Directory, 100 Crystals for Positive Manifestation by Isabella Drayson","The Crystal Directory is both a practical handbook packed with advice and a fascinating source book that includes the attributes of each stone and its spiritual qualities. It includes introductory chapters on what crystals are, both from their scientific legacy and their magical one, caring for and choosing crystals, the importance of chakras and color, plus background on why these particular stones have been used for centuries to help us get what we want out of life. There is also a practical chapter about working with these stones specifically chosen for manifestation. The alphabetical source book section that follows provides information about the uses and benefits for each crystal listed. A 6.8"" x 9"" Hardcover book with 192 pages.",AzureGreen,Metaphysical Supplies,"Crystals, Stones & Gemstones,Crystal Books, Grids & Mats,All Books & Journals,Earth Relics,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BCRYDIR,725,shopify,6,deny,azuregreen,38.51,,TRUE,TRUE,,https://www.azuregreen.net/images/BCRYDIR.jpg,1,"Crystal Directory, 100 Crystals for Positive Manifestation by Isabella Drayson",FALSE,active
bcryene-crystals-for-energy-healing-by-ashley-leavy,Crystals for Energy Healing by Ashley Leavy,"Crystals for Energy is a comprehensive source book of 100 essential crystals for spiritual healing and all-round protection. Not only does it present you with the crystal's natural attributes, legendary power, and holistic benefits, but also information on each crystal's specific energy so it may enhance, heal, or protect you. This all-inclusive guide book features introductory chapters on what crystals are from both their scientific legacy, and their magical one. You will see how to choose and care for your crystals, as well as the importance chakras and color in spiritual healing. You will also enjoy a practical chapter on working with stones specifically curated by the author for their protection and spiritual healing properties.",AzureGreen,Metaphysical Supplies,"Mind, Body, Soul & New Age,Crystals, Stones & Gemstones,Crystal Books, Grids & Mats,All Books & Journals,Earth Relics,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BCRYENE,725,shopify,16,deny,azuregreen,56.64,,TRUE,TRUE,,https://www.azuregreen.net/images/BCRYENE.jpg,1,Crystals for Energy Healing by Ashley Leavy,FALSE,active
bcrygrih-crystal-grids-handbook-hc-by-judy-hall,Crystal Grids Handbook (hc) by Judy Hall,"Learn how to harness the power of sacred geometry to activate and amplify the power of your crystals. Featuring dozens of grids designed by the world's leading crystal expert, Judy Hall, this truly is the essential quick-reference guide. You'll find beginner grids based on basic geometric shapes and templates as well as advanced grids for deep healing and transformation. Learn how to select the best crystal for a particular grid or purpose as well as how to correctly set up, activate, and dismantle a grid. A 5.3"" x 8.25"" Hardcover book with 176 pages.",AzureGreen,Metaphysical Supplies,"Crystals, Stones & Gemstones,Crystal Books, Grids & Mats,All Books & Journals,Earth Relics,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BCRYGRIH,453,shopify,13,deny,azuregreen,49.84,,TRUE,TRUE,,https://www.azuregreen.net/images/BCRYGRIH.jpg,1,Crystal Grids Handbook (hc) by Judy Hall,FALSE,active
bcryhea-crystals-for-healing-by-karen-frazier,Crystals for Healing by Karen Frazier,"The resonating energies of crystals have long been believed to hold the secrets to healing, well-being, and success. With Crystals for Healing, beginners and seasoned practitioners can address more than 90 of the most common states people struggle with or aspire to achieve, including anxiety, courage, grief, inspiration, emotional balance, love, worry, and more. This is your sign to begin the new year with the power of crystals in your pocket. A 5.83 x 8.27 paperback book with 358 pages.",AzureGreen,Metaphysical Supplies,"Crystals, Stones & Gemstones,Crystal Books, Grids & Mats,All Books & Journals,Earth Relics,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BCRYHEA,907,shopify,4,deny,azuregreen,38.51,,TRUE,TRUE,,https://www.azuregreen.net/images/BCRYHEA.jpg,1,Crystals for Healing by Karen Frazier,FALSE,active
bcrymagmw-crystal-magic-for-the-modern-witch-by-devin-hunter,Crystal Magic for the Modern Witch by Devin Hunter,"Featuring an immense collection of recipes, grids, correspondences, and nearly two hundred color photos, this is a must-have resource on minerals and how to partner with them for potent magic. Bestselling author Devin Hunter presents more than a hundred common varieties that help witches begin or improve their crystal practice.

Drawing on almost thirty years of experience, Devin shares detailed advice on the best crystals for protection, well-being, magical success, and psychic abilities. He reveals the physical, mental, and spiritual benefits of each stone as well as what element, tarot card, affirmation, plants, and planets are associated with it. In addition to dozens of spells and workings, this stunning book covers cleansing methods, divination techniques, crystal spirits, and much more. A 6.93"" x 9.92"" Paperback book with 272 pages.",AzureGreen,Metaphysical Supplies,"Spellcraft, Witchcraft & Magic,Crystals, Stones & Gemstones,Crystal Books, Grids & Mats,All Books & Journals,Ritual Tools,Earth Relics,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BCRYMAGMW,725,shopify,5,deny,azuregreen,56.64,,TRUE,TRUE,,https://www.azuregreen.net/images/BCRYMAGMW.jpg,1,Crystal Magic for the Modern Witch by Devin Hunter,FALSE,active
benccry-ency-of-crystal-gem-and-metal-magic-by-scott-cunningham,"Ency. of Crystal, Gem and Metal Magic by Scott Cunningham","Ency. of Crystal, Gem and Metal Magic by Scott Cunningham Easy to use, this reference from Scott Cunningham provides a description of each mineral, crystal and metal along with a description of their mystical properties.",AzureGreen,Metaphysical Supplies,"Crystals, Stones & Gemstones,Crystal Books, Grids & Mats,All Books & Journals,Earth Relics,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BENCCRY,453,shopify,5,deny,azuregreen,43.04,,TRUE,TRUE,,https://www.azuregreen.net/images/BENCCRY.JPG,1,"Ency. of Crystal, Gem and Metal Magic by Scott Cunningham",FALSE,active
