Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Status
bbigboomi-big-book-of-magical-incense-by-sara-l-mastros,Big Book of Magical Incense by Sara L Mastros,"The big book of magical incense is an invaluable hands-on guide to the vast world of magical incense. It provides tried-and-true recipes, advice on how to create your own formulas, and instructions on how to use incense in all sorts of magical practice. The chapters are scaffolded, teaching about the basic ingredients and skills, both practical and magical, in early chapters, and gently leading you to develop your own recipes, spells, and ritual practices as you move through the book. Presented in a paradigm-agnostic way, this book is your guide whatever your path. A 7 "" x 9"" paperback book with 288 pages.",AzureGreen,Metaphysical Supplies,"All Books & Journals,Cleansing, Protection & Candle Magic,Ritual Tools,Illuminations,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BBIGBOOMI,453,shopify,8,deny,azuregreen,56.55,,TRUE,TRUE,,https://www.azuregreen.net/images/BBIGBOOMI.jpg,1,Big Book of Magical Incense by Sara L Mastros,FALSE,active
cjpen-90-hr-pentacle-frankincense-jar-candle,90 hr Pentacle (Frankincense) jar candle,Protection jar candle with a Pentacle and the scent of Frankincense. The Pentacle is a symbol of balance and protection with each of the points having their own meaning. Frankincense is powerful to remove negativity and raise the energy level of a space. Great candle to use in rituals. Approximately a 90 hour burn time with beautiful artwork and comes boxed.,AzureGreen,Metaphysical Supplies,"7 Day Jar Candles (purpose),Pentagrams & Pentacles,Protection & Cleansing,All Candles & Candle Accessories,Illuminations,The Way to Resonance",FALSE,Title,Default Title,CJPEN,816,shopify,0,deny,azuregreen,31.62,,TRUE,TRUE,,https://www.azuregreen.net/images/CJPEN.jpg,1,90 hr Pentacle (Frankincense) jar candle,FALSE,active
fat3477-5-1-2-big-clown-ashtray,"5 1/2"" Big Clown ashtray","Go full chaotic with this Joker-inspired clown ashtray/incense burner! Its oversized open mouth holds your incense stick, letting smoke curl out like a mischievous plume. With wild green hair and cool sunglasses, this resin piece is playful, edgy, and unforgettable, perfect for adding a touch of dark humor to any space.",AzureGreen,Metaphysical Supplies,"Stick Incense Burners,Novelty & Gift Ideas,Ashtrays,Sacred Smoke,The Way to Resonance",TRUE,Title,Default Title,FAT3477,362,shopify,21,deny,azuregreen,54.29,,TRUE,TRUE,,https://www.azuregreen.net/images/FAT3477.jpg,1,"5 1/2"" Big Clown ashtray",FALSE,active
ib10s-pentagram-and-triple-moon-ash-catcher,Pentagram and Triple Moon ash catcher,"This ash catcher depicts an interwoven pentagram where your stick incense is held, with an ash tray decorated with Celtic knots and the Goddess�s triple moon.",AzureGreen,Metaphysical Supplies,"Stick Incense Burners,Moon Products,Pentagrams & Pentacles,Gods & Goddesses,Sacred Smoke,The Way to Resonance",TRUE,Title,Default Title,IB10S,272,shopify,33,deny,azuregreen,38.42,,TRUE,TRUE,,https://www.azuregreen.net/images/IB10S.jpg,1,Pentagram and Triple Moon ash catcher,FALSE,active
ib148-5-15-16-gold-ganesha-chakra-hand-incense-burner,"5 15/16"" gold Ganesha Chakra Hand incense burner","Enhance your meditation and relaxation sessions with our exquisite 5 15/16"" gold Ganesha Chakra Hand incense burner. Crafted with intricate details, this burner is not only a functional piece but also a beautiful decorative item for your home or sacred space. The Ganesha design symbolizes wisdom, success, and good fortune, making it a meaningful addition to your spiritual practices. The chakra hand shape adds an extra element of spirituality, allowing you to align your energy while enjoying your favorite incense.",AzureGreen,Metaphysical Supplies,"Backflow Burners,Mystic Curiosities,The Way to Resonance",FALSE,Title,Default Title,IB148,272,shopify,0,deny,azuregreen,33.89,,TRUE,TRUE,,https://www.azuregreen.net/images/IB148.jpg,1,"5 15/16"" gold Ganesha Chakra Hand incense burner",FALSE,active
ib1608-skeleton-incense-holder,Skeleton incense holder,Wonderfully rendered so as to appear to be a skeleton reclining back into the earth. Cold cast resin. 10� x 2� x 2�,AzureGreen,Metaphysical Supplies,"Stick Incense Burners,Sacred Smoke,The Way to Resonance",TRUE,Title,Default Title,IB1608,907,shopify,8,deny,azuregreen,54.29,,TRUE,TRUE,,https://www.azuregreen.net/images/IB1608.JPG,1,Skeleton incense holder,FALSE,active
ib2838-9-1-2-goddess-7-chakra-burner,"9 1/2"" Goddess 7 Chakra burner","Empower the Seven chakras while burning on this uniquely styled incense burner. As it stands vertically, making an easier fit while keeping your favorite scent. Chakra symbols run along the backside of brightly colored burner, while a posed goddess, has the represented along her body in their respective colors. 2 �� x 2 at base, with a height of 9 ��. Size may vary.",AzureGreen,Metaphysical Supplies,"Stick Incense Burners,Chakra, Meditation, & Reiki Products,Chakra & Reiki,Gods & Goddesses,Sacred Smoke,The Way to Resonance",TRUE,Title,Default Title,IB2838,771,shopify,1,deny,azuregreen,52.02,,TRUE,TRUE,,https://www.azuregreen.net/images/IB2838.jpg,1,"9 1/2"" Goddess 7 Chakra burner",FALSE,active
ib2959-7-1-2-palmistry-burner,"7 1/2"" Palmistry burner","Beautiful flat hand incense burner with great detailed symbols throughout. Slate colored with stick incense hole in center of the sun and moon image. 7 1/2"" solid.",AzureGreen,Metaphysical Supplies,"Stick Incense Burners,Scrying & Divination Tools,Sun & Stars,Sacred Smoke,The Way to Resonance",TRUE,Title,Default Title,IB2959,226,shopify,44,deny,azuregreen,24.82,,TRUE,TRUE,,https://www.azuregreen.net/images/IB2959.jpg,1,"7 1/2"" Palmistry burner",FALSE,active
ib3226-4-1-2-moon-stars-burner,"4 1/2"" Moon & Stars burner",Moon and stars stick incense burner with a beautifully detailed Moon face. Painted copper with an aged looking finish. Size is approximate,AzureGreen,Metaphysical Supplies,"Stick Incense Burners,Moon Products,Sun & Stars,Sacred Smoke,The Way to Resonance",TRUE,Title,Default Title,IB3226,272,shopify,3,deny,azuregreen,31.62,,TRUE,TRUE,,https://www.azuregreen.net/images/IB3226.jpg,1,"4 1/2"" Moon & Stars burner",FALSE,active
ib3227-5-3-4-alien-cone-burner,"5 3/4"" Alien cone burner","Transform your space with this whimsical alien regular cone incense burner, featuring a playful extraterrestrial perched atop a saucer. Crafted from durable cold cast resin, this unique piece allows the incense cone to sit inside the alien, releasing fragrant smoke that gracefully wafts from its head, creating an out of this world atmosphere. Comes with starter cones",AzureGreen,Metaphysical Supplies,"Novelty & Gift Ideas,Cone & Granular Incense Burners,Sacred Smoke,The Way to Resonance",TRUE,Title,Default Title,IB3227,680,shopify,28,deny,azuregreen,72.42,,TRUE,TRUE,,https://www.azuregreen.net/images/IB3227.jpg,1,"5 3/4"" Alien cone burner",FALSE,active
